id,priority,shrine,legacy_cell,principal_figure_cell,legacy_slug,principal_slug,consequence,sites_on_legacy_figure,retires_url,flags,draft_verdict,draft_rationale,verdict,chosen_name,reviewer_note
figure-column:darbar-malik-ahmad-ayaz:cbe5ec11,3,Darbar Malik Ahmad Ayaz,"Malik Ahmad Ayaz (also given as ""Malik Ayaz Ahmad"" and ""Malik Ayaz""), described in the survey as slave of Mahmud Ghaznavi, minister, and governor of Lahore","Malik Ahmad Ayaz (also given as ""Malik Ayaz Ahmad"" and ""Malik Ayaz""), described in the survey as slave of Mahmud Ghaznavi, minister, and governor of Lahore",malik-ahmad-ayaz-described-in-the-survey-as-slave-of-mahmud-ghaznavi-minister-and-governor-of-lahore,malik-ahmad-ayaz-described-in-the-survey-as-slave-of-mahmud-ghaznavi-minister-and-governor-of-lahore,identical,malik-ahmad-ayaz-described-in-the-survey-as-slave-of-mahmud-ghaznavi-minister-and-governor-of-lahore=1,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:darbar-sakhi-shah-chan-charagh:f45a4fdf,3,Darbar Sakhi Shah Chan Charagh,Syed Sakhi Shah Chan Charagh,Syed Sakhi Shah Chan Charagh (Shah Zaman),syed-sakhi-shah-chan-charagh,syed-sakhi-shah-chan-charagh,"same figure, different wording",syed-sakhi-shah-chan-charagh=1,,,principal,"Different wording, same slug. No URL moves and no reader sees a change; the curated cell is the better record of the name.",,,
figure-column:dargah-roza-sufi-shah-inayat-shaheed:a3f7c4f7,3,Dargah / Roza Sufi Shah Inayat Shaheed,Sufi Shah Inayat Shaheed,Sufi Shah Inayat Shaheed,sufi-shah-inayat-shaheed,sufi-shah-inayat-shaheed,identical,sufi-shah-inayat-shaheed=1,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:dargah-pir-ratan-nath-jee:48e7e64c,3,Dargah Pir Ratan Nath Jee,Baba Pir Ratan Nath (Nath yogi),Baba Pir Ratan Nath,baba-pir-ratan-nath,baba-pir-ratan-nath,"same figure, different wording",baba-pir-ratan-nath=1,,,principal,"Different wording, same slug. No URL moves and no reader sees a change; the curated cell is the better record of the name.",,,
figure-column:gorakhnath-goraknath-temple:bb8d81da,3,Gorakhnath (Goraknath) Temple,Guru Gorakhnath,Guru Gorakhnath,guru-gorakhnath,guru-gorakhnath,identical,guru-gorakhnath=2,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:gurdas-ram-mandir:f37d52ff,3,Gurdas Ram Mandir,Sant Gurdas Ram,Sant Gurdas Ram,sant-gurdas-ram,sant-gurdas-ram,identical,sant-gurdas-ram=1,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:gurdwara-babay-de-ber:a5259c7e,3,Gurdwara Babay De Ber,Guru Nanak,Guru Nanak,guru-nanak,guru-nanak,identical,guru-nanak=18,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:gurdwara-babay-nanki:cc1c5e9e,3,Gurdwara Babay Nanki,Bebe Nanaki (elder sister of Guru Nanak),Bebe Nanaki,bebe-nanaki,bebe-nanaki,"same figure, different wording",bebe-nanaki=1,,,principal,"Different wording, same slug. No URL moves and no reader sees a change; the curated cell is the better record of the name.",,,
figure-column:gurdwara-balila-sahib-bal-lila-sahib:a5259c7e,3,Gurdwara Balila Sahib (Bal Lila Sahib),Guru Nanak,Guru Nanak,guru-nanak,guru-nanak,identical,guru-nanak=18,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:gurdwara-baoli-sahib-guru-arjan-dev-ji-lahore:bc4418d8,3,"Gurdwara Baoli Sahib (Guru Arjan Dev Ji), Lahore",Guru Arjan Dev (fifth Sikh Guru),Guru Arjan Dev,guru-arjan-dev,guru-arjan-dev,"same figure, different wording",guru-arjan-dev=3,,,principal,"Different wording, same slug. No URL moves and no reader sees a change; the curated cell is the better record of the name.",,,
figure-column:gurdwara-bhai-beba-singh:83808c6f,3,Gurdwara Bhai Beba Singh,Bhai Biba (Beba) Singh (Sikh warrior; gurdwara from era of Guru Gobind Singh),Bhai Biba (Beba) Singh,bhai-biba-singh,bhai-biba-singh,"same figure, different wording",bhai-biba-singh=1,,,principal,"Different wording, same slug. No URL moves and no reader sees a change; the curated cell is the better record of the name.",,,
figure-column:gurdwara-bhai-joga-singh:90b15614,3,Gurdwara Bhai Joga Singh,Bhai Joga Singh,Bhai Joga Singh,bhai-joga-singh,bhai-joga-singh,identical,bhai-joga-singh=1,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:gurdwara-chhevin-patshahi-chitti-gatti:1b744299,3,"Gurdwara Chhevin Patshahi, Chitti Gatti",Guru Hargobind (Sixth Guru),Guru Hargobind,guru-hargobind,guru-hargobind,"same figure, different wording",guru-hargobind=6,,,principal,"Different wording, same slug. No URL moves and no reader sees a change; the curated cell is the better record of the name.",,,
figure-column:gurdwara-chhevin-patshahi-jhalian-jhalian-dhilwan:df44017a,3,"Gurdwara Chhevin Patshahi, Jhalian (Jhalian Dhilwan)",Guru Hargobind (Sixth Guru / Chhevin Patshahi),Guru Hargobind,guru-hargobind,guru-hargobind,"same figure, different wording",guru-hargobind=6,,,principal,"Different wording, same slug. No URL moves and no reader sees a change; the curated cell is the better record of the name.",,,
figure-column:gurdwara-chhevin-patshahi-mozang:e3a06612,3,"Gurdwara Chhevin Patshahi, Mozang",Guru Hargobind,Guru Hargobind,guru-hargobind,guru-hargobind,identical,guru-hargobind=6,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:gurdwara-choa-sahib:a5259c7e,3,Gurdwara Choa Sahib,Guru Nanak,Guru Nanak,guru-nanak,guru-nanak,identical,guru-nanak=18,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:gurdwara-chowmala-sahib:e3a06612,3,Gurdwara Chowmala Sahib,Guru Hargobind,Guru Hargobind,guru-hargobind,guru-hargobind,identical,guru-hargobind=6,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:gurdwara-darbar-sahib-kartarpur:a5259c7e,3,Gurdwara Darbar Sahib Kartarpur,Guru Nanak,Guru Nanak,guru-nanak,guru-nanak,identical,guru-nanak=18,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:gurdwara-dash-mesh-pita:feb273fe,3,Gurdwara Dash Mesh Pita,Guru Gobind Singh (Dashmesh Pita),Guru Gobind Singh,guru-gobind-singh,guru-gobind-singh,"same figure, different wording",guru-gobind-singh=1,,,principal,"Different wording, same slug. No URL moves and no reader sees a change; the curated cell is the better record of the name.",,,
figure-column:gurdwara-dera-sahib:92291959,3,Gurdwara Dera Sahib,Guru Arjan Dev,Guru Arjan Dev,guru-arjan-dev,guru-arjan-dev,identical,guru-arjan-dev=3,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:gurdwara-guru-ram-das-ji:2be729b9,3,Gurdwara Guru Ram Das Ji,Guru Ram Das (4th),Guru Ram Das,guru-ram-das,guru-ram-das,"same figure, different wording",guru-ram-das=1,,,principal,"Different wording, same slug. No URL moves and no reader sees a change; the curated cell is the better record of the name.",,,
figure-column:gurdwara-khoohi-bhai-lalo-bhai-lalo-di-khooi:e699fa04,3,Gurdwara Khoohi Bhai Lalo (Bhai Lalo di Khooi),Guru Nanak Dev Ji; associated with Bhai Lalo,Guru Nanak; Bhai Lalo,guru-nanak+bhai-lalo,guru-nanak+bhai-lalo,"same figure, different wording",guru-nanak=18 bhai-lalo=1,,composite-row,principal,"Different wording, same slug. No URL moves and no reader sees a change; the curated cell is the better record of the name.",,,
figure-column:gurdwara-malji-sahib:a5259c7e,3,Gurdwara Malji Sahib,Guru Nanak,Guru Nanak,guru-nanak,guru-nanak,identical,guru-nanak=18,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:gurdwara-panja-sahib:a5259c7e,3,Gurdwara Panja Sahib,Guru Nanak,Guru Nanak,guru-nanak,guru-nanak,identical,guru-nanak=18,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:gurdwara-panjvi-chati-patshahi:c3ec1502,3,Gurdwara Panjvi Chati Patshahi,Guru Arjan Dev (5th) & Guru Hargobind (6th),Guru Arjan Dev; Guru Hargobind,guru-arjan-dev+guru-hargobind,guru-arjan-dev+guru-hargobind,"same figure, different wording",guru-arjan-dev=3 guru-hargobind=6,,composite-row,principal,"Different wording, same slug. No URL moves and no reader sees a change; the curated cell is the better record of the name.",,,
figure-column:gurdwara-patshahi-chhevin-hadiara-lahore:df44017a,3,"Gurdwara Patshahi Chhevin (Hadiara), Lahore",Guru Hargobind (Sixth Guru / Chhevin Patshahi),Guru Hargobind,guru-hargobind,guru-hargobind,"same figure, different wording",guru-hargobind=6,,,principal,"Different wording, same slug. No URL moves and no reader sees a change; the curated cell is the better record of the name.",,,
figure-column:gurdwara-patti-sahib:a5259c7e,3,Gurdwara Patti Sahib,Guru Nanak,Guru Nanak,guru-nanak,guru-nanak,identical,guru-nanak=18,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:gurdwara-pehli-patshahi-jind-pir-sukkur:85913a41,3,"Gurdwara Pehli Patshahi (Jind Pir), Sukkur",Guru Nanak (First Guru / Pehli Patshahi),Guru Nanak,guru-nanak,guru-nanak,"same figure, different wording",guru-nanak=18,,,principal,"Different wording, same slug. No URL moves and no reader sees a change; the curated cell is the better record of the name.",,,
figure-column:gurdwara-rori-sahib:d4210997,3,Gurdwara Rori Sahib,Guru Nanak and Bhai Mardana,Guru Nanak; Bhai Mardana,guru-nanak+bhai-mardana,guru-nanak+bhai-mardana,"same figure, different wording",guru-nanak=18 bhai-mardana=1,,composite-row,principal,"Different wording, same slug. No URL moves and no reader sees a change; the curated cell is the better record of the name.",,,
figure-column:gurdwara-sach-khand-sahib:a5259c7e,3,Gurdwara Sach Khand Sahib,Guru Nanak,Guru Nanak,guru-nanak,guru-nanak,identical,guru-nanak=18,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:gurdwara-sacha-sauda:a5259c7e,3,Gurdwara Sacha Sauda,Guru Nanak,Guru Nanak,guru-nanak,guru-nanak,identical,guru-nanak=18,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:gurdwara-sahib-saidpur-guru-nanak-dev-ji:4f81cea1,3,Gurdwara Sahib Saidpur (Guru Nanak Dev Ji),Guru Nanak (gurdwara-school dedicated to his teachings),Guru Nanak,guru-nanak,guru-nanak,"same figure, different wording",guru-nanak=18,,,principal,"Different wording, same slug. No URL moves and no reader sees a change; the curated cell is the better record of the name.",,,
figure-column:gurdwara-shaheed-ganj-singh-singhnian:b32ec645,3,Gurdwara Shaheed Ganj Singh Singhnian,"Sikh women & children martyrs (18th century, Mir Mannu era)",Sikh women and children martyrs,sikh-women-and-children-martyrs,sikh-women-and-children-martyrs,"same figure, different wording",sikh-women-and-children-martyrs=1,,,principal,"Different wording, same slug. No URL moves and no reader sees a change; the curated cell is the better record of the name.",,,
figure-column:gurdwara-sri-kiara-sahib:a5259c7e,3,Gurdwara Sri Kiara Sahib,Guru Nanak,Guru Nanak,guru-nanak,guru-nanak,identical,guru-nanak=18,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:gurdwara-sri-tilganji-sahib:934ff223,3,Gurdwara Sri Tilganji Sahib,Guru Nanak (First Guru),Guru Nanak,guru-nanak,guru-nanak,"same figure, different wording",guru-nanak=18,,,principal,"Different wording, same slug. No URL moves and no reader sees a change; the curated cell is the better record of the name.",,,
figure-column:gurdwara-tambo-sahib:a5259c7e,3,Gurdwara Tambo Sahib,Guru Nanak,Guru Nanak,guru-nanak,guru-nanak,identical,guru-nanak=18,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:gurudwara-janam-asthan-nankana-sahib:a5259c7e,3,Gurudwara Janam Asthan Nankana Sahib,Guru Nanak,Guru Nanak,guru-nanak,guru-nanak,identical,guru-nanak=18,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:jagannath-temple-sialkot:d6dc1a72,3,"Jagannath Temple, Sialkot",Lord Jagannath (Krishna/Vishnu),Lord Jagannath,lord-jagannath,lord-jagannath,"same figure, different wording",lord-jagannath=1,,,principal,"Different wording, same slug. No URL moves and no reader sees a change; the curated cell is the better record of the name.",,,
figure-column:jain-mandir-lahore:b5b6bbc0,3,"Jain Mandir, Lahore",Jain Tirthankaras,Jain Tirthankaras,jain-tirthankaras,jain-tirthankaras,identical,jain-tirthankaras=2,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:katas-raj-temples:22fc1ee2,3,Katas Raj Temples,Shiva (Mahadev),Shiva (Mahadev),shiva,shiva,identical,shiva=8,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:lal-kurti-temple-balmiki-mandir-rawalpindi:63e76e5e,3,"Lal Kurti Temple (Balmiki Mandir), Rawalpindi",Valmiki (Bhagwan Valmik),Valmiki (Bhagwan Valmik),valmiki,valmiki,identical,valmiki=3,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:lal-shahbaz-qalandar:bdd5361b,3,Lal Shahbaz Qalandar,Lal Shahbaz Qalandar,Lal Shahbaz Qalandar (Usman Marwandi),lal-shahbaz-qalandar,lal-shahbaz-qalandar,"same figure, different wording",lal-shahbaz-qalandar=1,,,principal,"Different wording, same slug. No URL moves and no reader sees a change; the curated cell is the better record of the name.",,,
figure-column:langer-makhdoom:56391bfe,3,Langer Makhdoom,Makhdoom Burhan-ud-din,Makhdoom Burhan-ud-din,makhdoom-burhan-ud-din,makhdoom-burhan-ud-din,identical,makhdoom-burhan-ud-din=1,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:mausoleum-of-waris-shah:7e5298d2,3,Mausoleum of Waris Shah,Waris Shah,Waris Shah,waris-shah,waris-shah,identical,waris-shah=1,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:mazar-of-bulleh-shah:a4c403d3,3,Mazar of Bulleh Shah,Bulleh Shah (Abdullah Shah Qadri),Bulleh Shah (Abdullah Shah Qadri),bulleh-shah,bulleh-shah,identical,bulleh-shah=1,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:mithankot-kot-mithan:d4b21c33,3,Mithankot (Kot Mithan),Khwaja Ghulam Farid,Khwaja Ghulam Farid,khwaja-ghulam-farid,khwaja-ghulam-farid,identical,khwaja-ghulam-farid=1,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:mohra-sharif-khanqah:293e5356,3,Mohra Sharif (Khanqah),Khwaja Muhammad Qasim Sadiq,Khwaja Muhammad Qasim Sadiq,khwaja-muhammad-qasim-sadiq,khwaja-muhammad-qasim-sadiq,identical,khwaja-muhammad-qasim-sadiq=1,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:nagarparkar-jain-temples-nagarparkar-cultural-landscape:b5b6bbc0,3,Nagarparkar Jain Temples (Nagarparkar Cultural Landscape),Jain Tirthankaras,Jain Tirthankaras,jain-tirthankaras,jain-tirthankaras,identical,jain-tirthankaras=2,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:panj-tirath:d541365b,3,Panj Tirath,King Pandu (Mahabharata pilgrimage),King Pandu (Mahabharata),king-pandu,king-pandu,"same figure, different wording",king-pandu=1,,,principal,"Different wording, same slug. No URL moves and no reader sees a change; the curated cell is the better record of the name.",,,
figure-column:prahladpuri-temple:36fe3902,3,Prahladpuri Temple,Narasimha (named after Prahlada),Narasimha,narasimha,narasimha,"same figure, different wording",narasimha=1,,,principal,"Different wording, same slug. No URL moves and no reader sees a change; the curated cell is the better record of the name.",,,
figure-column:rahman-baba-mausoleum-rehman-baba-shrine:ce70e017,3,Rahman Baba Mausoleum (Rehman Baba Shrine),Rahman Baba (Abdur Rahman Mohmand),Rahman Baba (Abdur Rahman Mohmand),rahman-baba,rahman-baba,identical,rahman-baba=1,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:ramapir-temple-tando-allahyar:aa33458d,3,"Ramapir Temple, Tando Allahyar",Ramdev Pir (Ramapir),Ramdev Pir (Ramapir),ramdev-pir,ramdev-pir,identical,ramdev-pir=1,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:sadh-belo-sadh-belo-island-temple:812d425a,3,Sadh Belo (Sadh Belo Island Temple),Baba Bankhandi Maharaj (Udasi founder),Baba Bankhandi Maharaj,baba-bankhandi-maharaj,baba-bankhandi-maharaj,"same figure, different wording",baba-bankhandi-maharaj=1,,,principal,"Different wording, same slug. No URL moves and no reader sees a change; the curated cell is the better record of the name.",,,
figure-column:sain-vali-vilayat-rai-darbar-kambar:a7cffff9,3,"Sain Vali Vilayat Rai Darbar, Kambar",Sain Vali Vilayat Rai (b. 1825),Sain Vali Vilayat Rai,sain-vali-vilayat-rai,sain-vali-vilayat-rai,"same figure, different wording",sain-vali-vilayat-rai=1,,,principal,"Different wording, same slug. No URL moves and no reader sees a change; the curated cell is the better record of the name.",,,
figure-column:sakhi-sarwar:c888801c,3,Sakhi Sarwar,Sultan Sakhi Sarwar,Sultan Sakhi Sarwar (Lakhdata),sultan-sakhi-sarwar,sultan-sakhi-sarwar,"same figure, different wording",sultan-sakhi-sarwar=1,,,principal,"Different wording, same slug. No URL moves and no reader sees a change; the curated cell is the better record of the name.",,,
figure-column:samadhi-of-maharaja-ranjit-singh:fa647062,3,Samadhi of Maharaja Ranjit Singh,Maharaja Ranjit Singh,Maharaja Ranjit Singh,maharaja-ranjit-singh,maharaja-ranjit-singh,identical,maharaja-ranjit-singh=1,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:sant-baba-bhagat-ram-darbar-mandir:313afa5f,3,Sant Baba Bhagat Ram Darbar Mandir,Sant Baba Bhagat Ram,Sant Baba Bhagat Ram,sant-baba-bhagat-ram,sant-baba-bhagat-ram,identical,sant-baba-bhagat-ram=1,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:sant-bhagat-kanwar-ram-temple-chak:2861d270,3,Sant Bhagat Kanwar Ram Temple (Chak),Bhagat Kanwar Ram (1885–1939),Bhagat Kanwar Ram,bhagat-kanwar-ram,bhagat-kanwar-ram,"same figure, different wording",bhagat-kanwar-ram=1,,,principal,"Different wording, same slug. No URL moves and no reader sees a change; the curated cell is the better record of the name.",,,
figure-column:sant-satram-dham-raharki-sacho-satram-devri-sahib:eff1f7ff,3,"Sant Satram Dham, Raharki (Sacho Satram / Devri Sahib)",Satguru Swami Sai Satramdas Sahib (1866–1910),Satguru Swami Sai Satramdas Sahib,satguru-swami-sai-satramdas-sahib,satguru-swami-sai-satramdas-sahib,"same figure, different wording",satguru-swami-sai-satramdas-sahib=1,,,principal,"Different wording, same slug. No URL moves and no reader sees a change; the curated cell is the better record of the name.",,,
figure-column:shah-noorani-shrine-syed-bilawal-shah-noorani:4022e75d,3,Shah Noorani Shrine (Syed Bilawal Shah Noorani),Syed Bilawal Shah Noorani,Syed Bilawal Shah Noorani,syed-bilawal-shah-noorani,syed-bilawal-shah-noorani,identical,syed-bilawal-shah-noorani=1,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:shah-yousuf:fe926f40,3,Shah Yousuf,Hazrat Shah Yousuf,Hazrat Shah Yousuf,shah-yousuf,shah-yousuf,identical,shah-yousuf=1,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:shahwala-teja-singh-mandir:22fc1ee2,3,Shahwala Teja Singh Mandir,Shiva (Mahadev),Shiva (Mahadev),shiva,shiva,identical,shiva=8,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:shamsabad:16f3a086,3,Shamsabad,Shams Ali Qalandar,Shams Ali Qalandar,shams-ali-qalandar,shams-ali-qalandar,identical,shams-ali-qalandar=1,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:shergarh:514ec6bc,3,Shergarh,Daud Bandagi Kirmani,Daud Bandagi Kirmani,daud-bandagi-kirmani,daud-bandagi-kirmani,identical,daud-bandagi-kirmani=1,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:shiv-mandir-chiti-ghati:22fc1ee2,3,Shiv Mandir Chiti Ghati,Shiva (Mahadev),Shiva (Mahadev),shiva,shiva,identical,shiva=8,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:shree-ratneshwar-mahadev-temple-karachi:22fc1ee2,3,"Shree Ratneshwar Mahadev Temple, Karachi",Shiva (Mahadev),Shiva (Mahadev),shiva,shiva,identical,shiva=8,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:shri-laxmi-narayan-mandir-native-jetty-bridge:ca817ecf,3,Shri Laxmi Narayan Mandir (Native Jetty Bridge),Lakshmi-Narayan (Vishnu & Lakshmi),Lakshmi-Narayan,lakshmi-narayan,lakshmi-narayan,"same figure, different wording",lakshmi-narayan=1,,,principal,"Different wording, same slug. No URL moves and no reader sees a change; the curated cell is the better record of the name.",,,
figure-column:shri-swaminarayan-mandir-karachi:cee4c2aa,3,"Shri Swaminarayan Mandir, Karachi",Bhagwan Swaminarayan,Bhagwan Swaminarayan,bhagwan-swaminarayan,bhagwan-swaminarayan,identical,bhagwan-swaminarayan=1,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:shri-varun-dev-mandir:48fb68f2,3,Shri Varun Dev Mandir,Varuna (Varun Dev),Varuna (Varun Dev),varuna,varuna,identical,varuna=1,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:shrine-of-abdullah-shah-ghazi:f8675ae5,3,Shrine of Abdullah Shah Ghazi,Abdullah Shah Ghazi,Abdullah Shah Ghazi,abdullah-shah-ghazi,abdullah-shah-ghazi,identical,abdullah-shah-ghazi=1,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:shrine-of-akhund-panju-baba:b569c6c9,3,Shrine of Akhund Panju Baba,Hazrat Syed Abdul Wahab (Akhund Panju Baba),Hazrat Syed Abdul Wahab (Akhund Panju Baba),hazrat-syed-abdul-wahab,hazrat-syed-abdul-wahab,identical,hazrat-syed-abdul-wahab=1,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:shrine-of-baba-shah-chiragh:b01b6f04,3,Shrine of Baba Shah Chiragh,"Syed Abdul Razzaq (""Shah Chiragh"")",Syed Abdul Razzaq (Shah Chiragh),syed-abdul-razzaq,syed-abdul-razzaq,"same figure, different wording",syed-abdul-razzaq=1,,,principal,"Different wording, same slug. No URL moves and no reader sees a change; the curated cell is the better record of the name.",,,
figure-column:shrine-of-baba-shah-kamal:60f9b966,3,Shrine of Baba Shah Kamal,Hazrat Baba Shah Kamal,Hazrat Baba Shah Kamal,hazrat-baba-shah-kamal,hazrat-baba-shah-kamal,identical,hazrat-baba-shah-kamal=1,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:shrine-of-bahauddin-zakariya:3f338c6a,3,Shrine of Bahauddin Zakariya,Bahauddin Zakariya,Bahauddin Zakariya,bahauddin-zakariya,bahauddin-zakariya,identical,bahauddin-zakariya=1,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:shrine-of-hazrat-madho-lal-hussain-shah-hussain-darbar:c949786e,3,Shrine of Hazrat Madho Lal Hussain (Shah Hussain Darbar),Shah Hussain (Madho Lal Hussain),Shah Hussain (Madho Lal Hussain),shah-hussain,shah-hussain,identical,shah-hussain=1,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:shrine-of-hazrat-muhammad-ayub-shah-bukhari:35cd8d58,3,Shrine of Hazrat Muhammad Ayub Shah Bukhari,Hazrat Muhammad Ayub Shah Bukhari,Hazrat Muhammad Ayub Shah Bukhari,hazrat-muhammad-ayub-shah-bukhari,hazrat-muhammad-ayub-shah-bukhari,identical,hazrat-muhammad-ayub-shah-bukhari=1,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:shrine-of-hazrat-shah-ali-akbar-shah-ali-akbar-shamsi:cfa0f8bd,3,Shrine of Hazrat Shah Ali Akbar (Shah Ali Akbar Shamsi),Hazrat Shah Ali Akbar Shamsi,Hazrat Shah Ali Akbar Shamsi,hazrat-shah-ali-akbar-shamsi,hazrat-shah-ali-akbar-shamsi,identical,hazrat-shah-ali-akbar-shamsi=1,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:shrine-of-hazrat-shah-daula-daryai:32304d7d,3,Shrine of Hazrat Shah Daula Daryai,Hazrat Shah Daula Daryai,Hazrat Shah Daula Daryai,shah-daula-daryai,shah-daula-daryai,identical,shah-daula-daryai=1,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:shrine-of-makhdoom-abdul-rahim-girhori:9899d514,3,Shrine of Makhdoom Abdul Rahim Girhori,Makhdoom Abdul Rahim Girhori (1739–1778),Makhdoom Abdul Rahim Girhori,makhdoom-abdul-rahim-girhori,makhdoom-abdul-rahim-girhori,"same figure, different wording",makhdoom-abdul-rahim-girhori=1,,,principal,"Different wording, same slug. No URL moves and no reader sees a change; the curated cell is the better record of the name.",,,
figure-column:shrine-of-makhdoom-nooh-hala:de825591,3,Shrine of Makhdoom Nooh (Hala),Makhdoom Nooh (Makhdoom Lutufullah / Sarwar Nooh),Makhdoom Nooh (Makhdoom Lutufullah),makhdoom-nooh,makhdoom-nooh,"same figure, different wording",makhdoom-nooh=1,,,principal,"Different wording, same slug. No URL moves and no reader sees a change; the curated cell is the better record of the name.",,,
figure-column:shrine-of-mauj-darya-bukhari:1b936265,3,Shrine of Mauj Darya Bukhari,"Hazrat Meeran Muhammad Shah Bukhari (""Mauj Darya"")",Hazrat Meeran Muhammad Shah Bukhari (Mauj Darya),hazrat-meeran-muhammad-shah-bukhari,hazrat-meeran-muhammad-shah-bukhari,"same figure, different wording",hazrat-meeran-muhammad-shah-bukhari=1,,,principal,"Different wording, same slug. No URL moves and no reader sees a change; the curated cell is the better record of the name.",,,
figure-column:shrine-of-mian-mir:3cabc38b,3,Shrine of Mian Mir,Mian Mir,Mian Mir (Mir Mohammad of Sind),mian-mir,mian-mir,"same figure, different wording",mian-mir=1,,,principal,"Different wording, same slug. No URL moves and no reader sees a change; the curated cell is the better record of the name.",,,
figure-column:shrine-of-mian-umar-baba-chamkani:a0ed51d2,3,Shrine of Mian Umar Baba (Chamkani),Mian Muhammad Umar Chamkani (Naqshbandi Sufi),Mian Muhammad Umar Chamkani,mian-muhammad-umar-chamkani,mian-muhammad-umar-chamkani,"same figure, different wording",mian-muhammad-umar-chamkani=1,,,principal,"Different wording, same slug. No URL moves and no reader sees a change; the curated cell is the better record of the name.",,,
figure-column:shrine-of-miran-hussain-zanjani-zanjani-sahib:a784d4d8,3,Shrine of Miran Hussain Zanjani (Zanjani Sahib),Syed Miran Hussain Zanjani,Syed Miran Hussain Zanjani,syed-miran-hussain-zanjani,syed-miran-hussain-zanjani,identical,syed-miran-hussain-zanjani=1,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
figure-column:shrine-of-peer-makki:1e5b629d,3,Shrine of Peer Makki,Hazrat Syed Azizuddin al-Hassani wal-Hussaini (Peer Makki),Hazrat Syed Azizuddin al-Hassani wal-Hussaini (Peer Makki),hazrat-syed-azizuddin-al-hassani-wal-hussaini,hazrat-syed-azizuddin-al-hassani-wal-hussaini,identical,hazrat-syed-azizuddin-al-hassani-wal-hussaini=1,,,principal,The two cells are identical. Adopting the schema column changes nothing.,,,
