# TERMBASE v1.0 — controlled vocabulary and romanisation authority for a public archive of religious shrines in Pakistan.
# ROMANISATION CONVENTION (LIGHT): long vowels marked with macrons only (a i u -> ā ī ū). ʿayn = ʿ (U+02BF). hamza = ʾ (U+02BE). NO under-dots and NO over-dots: write h s t d z n r s (not ḥ ṣ ṭ ḍ ẓ ṇ ṛ ś). Digraphs kh gh ch sh zh th dh ph. Sanskrit/Prakrit c -> ch (āchārya, chhatri), ś/ṣ -> sh, ṛ -> ri (garbhagriha), ṅ/ṃ -> n/m. Arabic definite article always "al-" and hyphenated (Rabīʿ al-Awwal), never "ul-" or "us-". Izāfat rendered "-e-" (Ahl-e-Sunnat, Shab-e-Barāt). Final silent -h dropped (fātiha not fātihah; khānqāh keeps -h because it is pronounced). Proper nouns capitalised and NOT italicised.
# COLUMNS: canonical <TAB> script <TAB> variants (semicolon-delimited, normalise TO canonical) <TAB> category <TAB> gloss <TAB> translate
# TRANSLATE VALUES: NO = keep the romanised term, italicised, with the gloss on first use in an entry. YES = do not use the foreign term in running prose, use the English gloss instead. NAME = proper noun, use as written, capitalised, roman (not italic), never translated.
# EMPTY script CELL = the compiler was not confident of the script rendering. Do not fill it by guessing.
# CATEGORIES: SUFI_ORDER OFFICE_TITLE RITUAL ARCHITECTURE CALENDAR PLACE TRADITION INSTITUTION
canonical	script	variants	category	gloss	translate
Rabīʿ al-Awwal	ربیع الاول	Rabi-ul-Awal;Rabi ul Awwal;Rabiul Awwal;Rabi al-Awal;Rabbi ul Awal;Rabee ul Awal;Rabi I;Rabi al-Awwal	CALENDAR	third month; contains the Prophet's birth and death anniversary	NAME
Rabīʿ al-Thāni	ربیع الثانی	Rabi-us-Sani;Rabi al-Thani;Rabi ul Akhir;Rabi-ul-Sani;Rabi II;Rabi ul Sani	CALENDAR	fourth month; the eleventh is the Giyārhwīn of Abdul Qadir Jilani	NAME
Jumāda al-Ūla	جمادی الاولیٰ	Jamadi-ul-Awwal;Jumada al-Awwal;Jamadi ul Awal;Jamada al-Ula;Jumada I;Jumada al-Ula	CALENDAR	fifth month of the Islamic year	NAME
Jumāda al-Ākhira	جمادی الآخرہ	Jamadi al-Thani;Jamadi-us-Sani;Jumada al-Thani;Jamadi ul Akhir;Jumada II;Jumada al-Akhira	CALENDAR	sixth month of the Islamic year	NAME
Rajab	رجب	Rajjab;Rajab-ul-Murajjab	CALENDAR	seventh month; contains Shab-e-Miʿrāj	NAME
Shaʿbān	شعبان	Shaban;Shabaan;Sha'ban	CALENDAR	eighth month; contains Shab-e-Barāt	NAME
Ramadān	رمضان	Ramzan;Ramadan;Ramzaan;Ramadhan;Ramazan;Ramzān	CALENDAR	ninth month, the month of fasting	NAME
Shawwāl	شوال	Shawal;Shawwal;Shaw'wal;Shawaal	CALENDAR	tenth month; opens with ʿĪd al-Fitr	NAME
Dhū al-Qaʿda	ذوالقعدہ	Zil Qad;Zilqad;Zul Qadah;Dhul Qadah;Zi Qadah;Zilqada;Dhu al-Qada	CALENDAR	eleventh month of the Islamic year	NAME
Dhū al-Hijja	ذوالحجہ	Zilhaj;Zil Hajj;Dhul Hijjah;Zulhijja;Zil-Hajj;Zilhijja;Dhu al-Hijja	CALENDAR	twelfth month; the month of Hajj and ʿĪd al-Adhā	NAME
Hijri	ہجری	Hijrah;Hegira;AH	CALENDAR	the Islamic lunar era, counted from the migration to Medina	NAME
ʿĪd al-Fitr	عید الفطر	Eid ul Fitr;Eid-ul-Fitr;Eid al Fitr;Choti Eid;Eidul Fitr;Id al-Fitr	CALENDAR	festival ending the fast of Ramadān	NAME
ʿĪd al-Adha	عید الاضحیٰ	Eid ul Azha;Eid-ul-Adha;Eid al Adha;Bakra Eid;Bari Eid;Eidul Azha;Id al-Adha	CALENDAR	festival of sacrifice during Dhū al-Hijja	NAME
Mīlād al-Nabi	میلاد النبی	Eid Milad-un-Nabi;Eid Milad un Nabi;Mawlid al-Nabi;Milad un Nabi;Barah Wafat;12 Rabi ul Awwal;Milad al-Nabi	CALENDAR	commemoration of the Prophet's birth on 12 Rabīʿ al-Awwal	NAME
Shab-e-Barāt	شب برات	Shab e Barat;Shab-e-Baraat;Shabbarat;Shab Barat;Laylat al-Baraat;Shab-e-Barat	CALENDAR	night of 15 Shaʿbān, widely observed at shrines and graveyards	NAME
Shab-e-Miʿrāj	شب معراج	Shab e Miraj;Shab-e-Meraj;Shab Meraj;Lailatul Miraj;Shab-e-Miraj	CALENDAR	night of the Prophet's ascension, 27 Rajab	NAME
Shab-e-Qadr	شب قدر	Shab e Qadr;Laylat al-Qadr;Lailatul Qadr;Shab-e-Qadar	CALENDAR	Night of Power in the last ten days of Ramadān	NAME
ʿĀshūra	عاشورہ	Ashura;Ashoora;Aashura;Youm-e-Ashura;10 Muharram	CALENDAR	tenth of Muharram, the martyrdom of Husayn at Karbala	NAME
Chehlum	چہلم	Chelum;Arbaeen;Arba'in;Chalisvan	CALENDAR	fortieth day after ʿĀshūra	NAME
Giyārhwīn Sharīf	گیارہویں شریف	Gyarvi Sharif;Giyarvin;Gyarhvin;Gyarhwin Sharif;Giarvin Sharif;Giyarhwin Sharif	CALENDAR	eleventh of each lunar month, kept by Qadiris for Abdul Qadir Jilani	NAME
Bikrami	ਬਿਕਰਮੀ	Vikrami;Bikram Samvat;Vikram Samvat;Samvat	CALENDAR	lunisolar era used in Punjabi and Sikh dating, 57 years ahead of CE	NAME
Nanakshahi	ਨਾਨਕਸ਼ਾਹੀ	Nanak Shahi;Nanakshahi calendar	CALENDAR	Sikh solar calendar adopted in 2003, counted from the birth of Guru Nanak	NAME
Chet	ਚੇਤ	Chaitra;Chait;Chetra	CALENDAR	first month of the Punjabi and Nanakshahi year, roughly March-April	NAME
Vaisākh	ਵੈਸਾਖ	Vaisakh;Baisakh;Visakh;Vaisakha	CALENDAR	second Punjabi month, roughly April-May	NAME
Jeth	ਜੇਠ	Jyeshtha;Jaith	CALENDAR	third Punjabi month, roughly May-June	NAME
Harh	ਹਾੜ	Har;Asadh;Aashadh;Haarh	CALENDAR	fourth Punjabi month, roughly June-July	NAME
Sāwan	ਸਾਵਣ	Sawan;Savan;Shravan;Shraavan;Saawan	CALENDAR	fifth Punjabi month, roughly July-August; a major month for melas	NAME
Bhādon	ਭਾਦੋਂ	Bhadon;Bhadra;Bhadrapad;Bhado	CALENDAR	sixth Punjabi month, roughly August-September	NAME
Assū	ਅੱਸੂ	Assu;Asu;Ashwin;Asauj	CALENDAR	seventh Punjabi month, roughly September-October	NAME
Katak	ਕੱਤਕ	Kartik;Kattak;Kartika	CALENDAR	eighth Punjabi month, roughly October-November; month of Guru Nanak's Gurpurab	NAME
Maghar	ਮੱਘਰ	Magghar;Margashirsha;Manghar	CALENDAR	ninth Punjabi month, roughly November-December	NAME
Poh	ਪੋਹ	Pausha;Pooh;Pos	CALENDAR	tenth Punjabi month, roughly December-January	NAME
Māgh	ਮਾਘ	Magh;Maagh;Maghi	CALENDAR	eleventh Punjabi month, roughly January-February	NAME
Phagan	ਫੱਗਣ	Phagun;Phalgun;Fagan;Phaggan	CALENDAR	twelfth Punjabi month, roughly February-March	NAME
sangrānd	ਸੰਗਰਾਂਦ	sangrand;sangraand;sankranti;sankrant	CALENDAR	first day of a solar month, marked by readings at gurdwaras and temples	NO
amāvasya	अमावस्या	amavasya;amavas;masya;massya;mavas	CALENDAR	new-moon day, a common date for shrine melas	NO
pūrnima	पूर्णिमा	purnima;poornima;pooranmashi;puranmashi;punya	CALENDAR	full-moon day, a common date for shrine melas	NO
Mahā Shivrātri	महाशिवरात्रि	Maha Shivratri;Shivratri;Shivaratri;Maha Shivaratri;Shiv Ratri	CALENDAR	night of Shiva in Phagan; the principal festival at Katas Raj and Umarkot	NAME
Dīwāli	दिवाली	Diwali;Divali;Deepavali;Dipawali;Dewali	CALENDAR	autumn festival of lights	NAME
Bandi Chhor Divas	ਬੰਦੀ ਛੋੜ ਦਿਵਸ	Bandi Chor Divas;Bandi Chhorh Divas;Bandi Shor Divas	CALENDAR	Sikh observance coinciding with Diwali, marking Guru Hargobind's release	NAME
Holī	होली	Holi;Hooli;Holli;Holika	CALENDAR	spring festival of colours	NAME
Janmāshtami	जन्माष्टमी	Janmashtami;Janamashtami;Krishna Janmashtami;Gokulashtami	CALENDAR	birth anniversary of Krishna in Bhādon	NAME
Rām Navami	राम नवमी	Ram Navami;Rama Navami;Ramnavami;Ram Naumi	CALENDAR	birth anniversary of Rama in Chet	NAME
Navrātri	नवरात्रि	Navratri;Navaratri;Navratra;Naurata	CALENDAR	nine nights of the Goddess, twice yearly	NAME
Durgā Pūja	दुर्गा पूजा	Durga Puja;Durga Pooja;Durgapuja	CALENDAR	autumn worship of Durga within Navrātri	NAME
Hanumān Jayanti	हनुमान जयंती	Hanuman Jayanti;Hanuman Jayanthi;Hanuman Jyanti	CALENDAR	birth anniversary of Hanuman	NAME
Basant Panchami	बसंत पंचमी	Vasant Panchami;Basant Panchmi;Basant	CALENDAR	spring festival in Māgh, also marked at Punjabi shrines with kite-flying	NAME
Rakshā Bandhan	रक्षाबंधन	Raksha Bandhan;Rakshabandhan;Rakhi;Rakhri	CALENDAR	full moon of Sāwan; sisters tie protective threads	NAME
Anant Chaturdashi	अनंत चतुर्दशी	Ananta Chaturdashi;Anant Chaudas	CALENDAR	fourteenth day of bright Bhādon; closes Paryushan for Jains	NAME
Mahāvīr Jayanti	महावीर जयंती	Mahavir Jayanti;Mahaveer Jayanti;Mahavira Jayanti	CALENDAR	birth anniversary of Mahavira, the twenty-fourth Tirthankara	NAME
Paryushan	पर्युषण	Paryushana;Paryushana Parva;Parushan	CALENDAR	Jain period of fasting, confession, and forgiveness in Bhādon	NAME
Chetī Chand	चेटी चंड	Cheti Chand;Chetichand;Cheti Chandh;Jhulelal Jayanti;Cheti Chand Sahib	CALENDAR	Sindhi Hindu new year and birth anniversary of Jhulelal, in Chet	NAME
Chāliho Sāhib	चालीहो साहिब	Chaliho Sahib;Chalio Sahib;Chaliha Sahib;Chaliho	CALENDAR	forty-day Sindhi Hindu observance of austerity in honour of Jhulelal	NAME
Vaisākhi	ਵੈਸਾਖੀ	Baisakhi;Vaisakhi;Visakhi;Besakhi;Baisakhee	CALENDAR	first of Vaisākh; harvest festival and anniversary of the founding of the Khalsa	NAME
Gurpurab	ਗੁਰਪੁਰਬ	Gurpurb;Gurpurav;Gurparb;Guru Purab;Gurpurbs	CALENDAR	anniversary connected with a Sikh Guru	NAME
Prakāsh Purab	ਪ੍ਰਕਾਸ਼ ਪੁਰਬ	Prakash Purab;Parkash Purab;Prakash Utsav;Guru Nanak Jayanti	CALENDAR	birth anniversary of a Sikh Guru, above all Guru Nanak in Katak	NAME
Shahīdi Gurpurab	ਸ਼ਹੀਦੀ ਗੁਰਪੁਰਬ	Shahidi Gurpurab;Shaheedi Gurpurab;Shahidi Purab	CALENDAR	martyrdom anniversary of a Sikh Guru	NAME
Sindh	سندھ	Sind;Scinde;Sindh Province	PLACE	province of southern Pakistan; always spell Sindh, never Sind	NAME
Punjab	پنجاب	Panjab;Punjaab;the Punjab	PLACE	province of eastern Pakistan	NAME
Khyber Pakhtunkhwa	خیبر پختونخوا	KPK;Khyber Pukhtunkhwa;NWFP;North-West Frontier Province;Pakhtunkhwa;Khyber-Pakhtunkhwa	PLACE	north-western province, renamed from NWFP in 2010; abbreviate as KP	NAME
Balochistan	بلوچستان	Baluchistan;Balochistaan;Baluchestan;Balochestan	PLACE	south-western province; always Balochistan, never Baluchistan	NAME
Gilgit-Baltistan	گلگت بلتستان	Gilgit Baltistan;GB;Northern Areas	PLACE	northern administrative territory	NAME
Pothohar	پوٹھوہار	Potohar;Potwar;Pothwar;Pothohar Plateau;Potohar Plateau;Pothuhar	PLACE	plateau region of northern Punjab between the Jhelum and the Indus	NAME
Cholistan	چولستان	Cholistaan;Cholistan Desert;Rohi	PLACE	desert region of southern Punjab; known locally as Rohi	NAME
Tharparkar	تھرپارکر	Thar Parkar;Thurparkar;Tharparker;Tharparkar District	PLACE	desert district of south-eastern Sindh with a large Hindu population	NAME
Thar	تھر	Thar Desert;Thurr	PLACE	the desert itself, spanning Tharparkar and Umarkot	NAME
Nagarparkar	ننگرپارکر	Nagar Parkar;Nangarparkar;Nagarparker;Nagar Parker	PLACE	town in Tharparkar, site of Jain temples and the Karoonjhar hills	NAME
Umarkot	عمرکوٹ	Umar Kot;Amarkot;Umerkot;Umarkote	PLACE	district town of Sindh; Shiv Mandir and the birthplace of Akbar	NAME
Uch Sharif	اوچ شریف	Uchch Sharif;Uchh Sharif;Ooch Sharif;Uch-e-Sharif;Uch	PLACE	Suhrawardi shrine town near Bahawalpur	NAME
Pakpattan	پاکپتن	Pak Pattan;Pakpatan;Pakpattan Sharif;Ajodhan	PLACE	shrine town of Baba Farid; historically Ajodhan	NAME
Sehwan Sharif	سیہون شریف	Sehwan;Sewhan;Sehvan;Sehwan Shareef;Sehwan Sharief	PLACE	shrine town of Lal Shahbaz Qalandar in Jamshoro district	NAME
Multan	ملتان	Mooltan;Multaan;Multan City	PLACE	Suhrawardi shrine city of southern Punjab	NAME
Bahawalpur	بہاولپور	Bahawal Pur;Bhawalpur;Bahawulpur;Bahawalpore	PLACE	former princely state and district of southern Punjab	NAME
Lahore	لاہور	Lahor;Lahoor;Lahore City	PLACE	capital of Punjab; site of Data Darbar and Gurdwara Dera Sahib	NAME
Karachi	کراچی	Karanchi;Karachee;Kurachee	PLACE	capital of Sindh; site of Abdullah Shah Ghazi's shrine	NAME
Hyderabad	حیدرآباد	Hyderabad Sindh;Haiderabad;Hyderabad, Sindh	PLACE	city of Sindh; disambiguate from Hyderabad, India	NAME
Thatta	ٹھٹھہ	Thata;Tatta;Thattah;Thatto	PLACE	historic town of lower Sindh, near the Makli necropolis	NAME
Makli	مکلی	Makli Hill;Makli Necropolis;Makli Hills;Maqli	PLACE	vast necropolis at Thatta, a World Heritage Site	NAME
Bhit Shah	بھٹ شاہ	Bhitshah;Bhit	PLACE	shrine town of Shah Abdul Latif in Matiari district	NAME
Hala	ہالا	Halla;Hala Naka;Hala New	PLACE	Sindhi town of the Makhdum lineage, known for kāshi tilework and ajrak	NAME
Sukkur	سکھر	Sukkar;Sakhar;Sukhur;Sukkur City	PLACE	city on the Indus in upper Sindh	NAME
Rohri	روہڑی	Rohari;Rori;Rohrii;Rohri Sharif	PLACE	town opposite Sukkur, site of the War Mubarak shrine	NAME
Larkana	لاڑکانہ	Larkano;Larkhana;Larkana District;Larkanah	PLACE	district of upper Sindh, near Mohenjo-daro	NAME
Shikarpur	شکارپور	Shikarpoor;Shikar Pur;Sikarpur;Shikarpur Sindh	PLACE	historic merchant town of upper Sindh with many Hindu and Nanakpanthi sites	NAME
Khairpur	خیرپور	Khair Pur;Kairpur;Khairpur Mirs;Khairpur Mir's	PLACE	former princely state and district of upper Sindh	NAME
Dadu	دادو	Daadu;Dado;Dadu District	PLACE	district of western Sindh	NAME
Ghotki	گھوٹکی	Gotki;Ghotky;Ghotki District	PLACE	northernmost district of Sindh	NAME
Jamshoro	جامشورو	Jam Shoro;Jamshoroo;Jamshoro District	PLACE	district of Sindh containing Sehwan Sharif	NAME
Mirpurkhas	میرپورخاص	Mirpur Khas;Mir Pur Khas	PLACE	district town of south-eastern Sindh	NAME
Badin	بدین	Badeen;Badin District	PLACE	coastal district of south-eastern Sindh	NAME
Lasbela	لسبیلہ	Las Bela;Lasbella;Lasbela District;Lasbelah	PLACE	coastal district of Balochistan; site of Hinglaj	NAME
Hinglaj	ہنگلاج	Hinglaj Mata;Hingula;Hinglaj Devi;Nani Mandir	PLACE	Shakti Pītha in the Hingol valley, Lasbela district	NAME
Kohat	کوہاٹ	Kohaat;Kuhat;Kohat District	PLACE	district of southern Khyber Pakhtunkhwa	NAME
Nowshera	نوشہرہ	Naushera;Nowshehra;Nau Shehra;Naushahra;Nowshera District	PLACE	district of Khyber Pakhtunkhwa; disambiguate from Nowshera Virkan in Punjab	NAME
Mansehra	مانسہرہ	Manshera;Mansera;Mansehra District;Mansehrah	PLACE	district of Hazara division	NAME
Buner	بونیر	Bunair;Booner;Buner District	PLACE	district of Khyber Pakhtunkhwa	NAME
Peshawar	پشاور	Peshawer;Pashawar;Pekhawar;Peshwar	PLACE	capital of Khyber Pakhtunkhwa; Pekhawar is the Pashto form	NAME
Rawalpindi	راولپنڈی	Pindi;Rawal Pindi;Rawalpindee;Rawalpindi District	PLACE	city of northern Punjab	NAME
Sialkot	سیالکوٹ	Sialkote;Syalkot;Sialkot District	PLACE	city of north-eastern Punjab	NAME
Gujranwala	گوجرانوالہ	Gujaranwala;Gujranwalla;Gujrawala;Gujranwala District	PLACE	city of central Punjab; disambiguate from Gujrat and Gujarat	NAME
Khushab	خوشاب	Khushaab;Khushab District;Kushab	PLACE	district of western Punjab	NAME
Jhelum	جہلم	Jehlum;Jhelam;Jehlam;Jhelum District	PLACE	district and river of northern Punjab	NAME
Chakwal	چکوال	Chakwaal;Chakwal District;Chukwal	PLACE	district of the Pothohar plateau; contains Katas Raj	NAME
Katas Raj	کٹاس راج	Ketas;Katasraj;Qatas Raj;Katas	PLACE	temple complex around a sacred pool in Chakwal district	NAME
Nankana Sahib	ننکانہ صاحب	Nankana;Nankana Saheb;Nankana Sahib District;Nanakana Sahib	PLACE	birthplace of Guru Nanak in Punjab	NAME
Hasan Abdal	حسن ابدال	Hassan Abdal;Hasanabdal;Panja Sahib	PLACE	town in Attock district, site of Gurdwara Panja Sahib	NAME
Kartarpur	کرتارپور	Kartar Pur;Kartarpur Sahib;Kartarpur Narowal	PLACE	site of Guru Nanak's last years in Narowal district; disambiguate from Kartarpur, India	NAME
Narowal	نارووال	Naroval;Narowaal;Narowal District	PLACE	district of north-eastern Punjab containing Kartarpur	NAME
Chiniot	چنیوٹ	Chinniot;Chiniote;Chiniot District	PLACE	Punjabi town known for woodwork and Sheikh mercantile families	NAME
Jhang	جھنگ	Jhung;Jhang District;Jhang Sadar	PLACE	district of central Punjab, associated with Sultan Bahu and Heer Ranjha	NAME
Sargodha	سرگودھا	Sargodha District;Sargoda;Sargodah	PLACE	district of central Punjab	NAME
Kasur	قصور	Kasoor;Qasur;Kasur District	PLACE	district of Punjab, site of the shrine of Bulleh Shah	NAME
Attock	اٹک	Atock;Attok;Attock District;Campbellpur	PLACE	district of northern Punjab on the Indus	NAME
Ahl-e-Sunnat	اہل سنت	Ahle Sunnat;Ahl-i Sunnat;Ahl e Sunnat;Ahlesunnat;Ahl-e-Sunnat wal Jamaat	TRADITION	self-designation of Sunnis, in Pakistan often specifically of the Barelvi tendency	NAME
Barelvi	بریلوی	Braelvi;Barelwi;Bareilvi;Brelvi;Barelvis;Bareilly school	TRADITION	Sunni tendency of South Asia affirming intercession and shrine devotion	NAME
Deobandi	دیوبندی	Deobandhi;Devbandi;Diobandi;Deobandis	TRADITION	Sunni reformist tendency of South Asia, generally critical of shrine practices	NAME
Ahl-e-Hadith	اہل حدیث	Ahle Hadees;Ahl-i Hadith;Ahle Hadith;Ahl-e-Hadees	TRADITION	scripturalist Sunni tendency rejecting shrine intercession	NAME
Sunni	سنی	Sunnie;Sunnis;Sunny	TRADITION	majority branch of Islam	NAME
Shia	شیعہ	Shi'a;Shiite;Shi'ite;Shiah;Shi'i;Shias	TRADITION	branch of Islam holding to the imamate of Ali and his descendants	NAME
Ismaili	اسماعیلی	Ismailia;Isma'ili;Ismailis;Aga Khani	TRADITION	Shia branch; in Sindh historically associated with the Satpanth	NAME
Satpanth	ستپنتھ	Sat Panth;Satpanthi	TRADITION	Ismaili devotional tradition of Sindh and Gujarat expressed in ginan hymns	NAME
Zikri	ذکری	Zigri;Dhikri;Zikris	TRADITION	Balochistan community centred on dhikr and the Koh-e-Murad pilgrimage	NAME
Nanakpanthi	ਨਾਨਕਪੰਥੀ	Nanak Panthi;Nanakpanthis;Nanak-panthi;Nanakpanthi Hindus	TRADITION	followers of Guru Nanak in Sindh and Punjab who are not initiated Khalsa Sikhs	NAME
Udāsi	ਉਦਾਸੀ	Udasi;Udassi;Udaasi;Udasin;Udasee;Udasia	TRADITION	ascetic order traced to Baba Sri Chand, custodians of many Sindhi darbars	NAME
Sevāpanthi	ਸੇਵਾਪੰਥੀ	Sewapanthi;Seva Panthi;Sevapanthis;Sewa Panthi;Sevapanthi	TRADITION	Sikh order of service traced to Bhai Kanhaiya	NAME
Addanshahi	ਅੱਡਣਸ਼ਾਹੀ	Adan Shahi;Addan Shahi;Addanshahis	TRADITION	branch of the Sevapanthis named for Bhai Addan Shah	NAME
Sehajdhāri	ਸਹਿਜਧਾਰੀ	Sahajdhari;Sehjdhari;Sahijdhari;Sahajdharis;Sehajdhari	TRADITION	Sikh who has not taken Khalsa initiation and does not keep the five articles	NAME
Keshdhāri	ਕੇਸਧਾਰੀ	Keshdhari;Kesdhari;Keshdharis	TRADITION	Sikh who keeps uncut hair	NAME
Amritdhāri	ਅੰਮ੍ਰਿਤਧਾਰੀ	Amritdhari;Amrithdhari;Amritdharis	TRADITION	initiated Khalsa Sikh	NAME
Khalsa	ਖ਼ਾਲਸਾ	Khalsa Panth;Khaalsa	TRADITION	the initiated Sikh order founded in 1699	NAME
Nihang	ਨਿਹੰਗ	Nihung;Akali Nihang;Nihangs	TRADITION	armed Sikh order distinguished by blue dress and tall turbans	NAME
Nāth	नाथ	Nath;Naths;Nath Panthi;Nath Yogi;Nath Sampradaya	TRADITION	yogic order of Gorakhnath, historically strong in the Salt Range and Sindh	NAME
Kānphata	कानफटा	Kanphata;Kanphat;Kanphata Jogi;Kanphatta;Kanphara	TRADITION	split-eared Nath yogis, named for their heavy ear-rings	NAME
Shaiva	शैव	Shaivite;Shaiv;Saiva	TRADITION	devotee or tradition centred on Shiva	NAME
Vaishnav	वैष्णव	Vaishnava;Vishnavite;Vaishnavite	TRADITION	devotee or tradition centred on Vishnu	NAME
bhakti	भक्ति	bhagti;bhakthi	TRADITION	devotional love of a personal deity	NO
Shakti Pītha	शक्तिपीठ	Shakti Peeth;Shakti Peetha;Shaktipith;Shakti Pith;Shaktipeeth;Shakti Pitha	TRADITION	one of the sites where a part of Sati's body is said to have fallen	NAME
Shvetāmbara	श्वेताम्बर	Svetambara;Shvetambar;Swetambar;Shwetambar;Shvetambara	TRADITION	white-clad branch of Jainism	NAME
Digambara	दिगंबर	Digambar;Digamber	TRADITION	sky-clad branch of Jainism	NAME
Tirthankara	तीर्थंकर	Tirthankar;Teerthankar;Tirthankaras;Jina	TRADITION	one of the twenty-four ford-makers of Jainism	NAME
Bhābra	بھابھڑا	Bhabra;Bhabhra;Bhabhda;Bhabras;Bhabra Jain	TRADITION	Punjabi Jain merchant community, builders of the Jain temples of Punjab	NAME
Lāsi	لاسی	Lasi;Laasi;Lasis	TRADITION	community of Lasbela in coastal Balochistan	NAME
Bhāgnāri	بھاگناڑی	Bhagnari;Bhagnaris;Bagnari;Bhagnari Hindus	TRADITION	Hindu trading community originating in Bhag, Balochistan	NAME
Sheedi	شیدی	Sidi;Siddi;Shidi;Sheedis;Sheedee;Shidee	TRADITION	Afro-Pakistani community of Sindh and Balochistan, central to the Manghopir festival	NAME
Saraiki	سرائیکی	Siraiki;Seraiki;Saraeki;Siraeki	TRADITION	language and identity of southern Punjab	NAME
Sindhi	سندھی	Sindi;Sindhis	TRADITION	language and people of Sindh	NAME
Hindko	ہندکو	Hindku;Hindkowan	TRADITION	Indo-Aryan language of Hazara, Peshawar, and Attock	NAME
Brahui	براہوی	Brohi;Brahvi;Brahuis	TRADITION	Dravidian language and people of Balochistan	NAME
Marwari	مارواڑی	Marvari;Marwadi;Marwaris	TRADITION	language and community of Rajasthani origin present in Sindh	NAME
Dhatki	ڈھاٹکی	Dhati;Dhatti;Thari	TRADITION	Rajasthani language of Tharparkar	NAME
Meghwar	میگھواڑ	Meghwal;Meghwad;Meghwars	TRADITION	scheduled-caste Hindu community of Sindh	NAME
Kolhi	کولھی	Kohli;Kolhis;Koli	TRADITION	Hindu community of Tharparkar and lower Sindh	NAME
Bhil	بھیل	Bheel;Bhils;Bheels	TRADITION	Adivasi-descended community of Tharparkar and southern Punjab	NAME
Parkari Kohli	پارکری کولھی	Parkari Koli;Parkari Kolhi;Parkari	TRADITION	Kolhi sub-group of Nagarparkar with its own language	NAME
waqf	وقف	wakf;wakaf	INSTITUTION	inalienable religious endowment supporting a shrine or mosque	NO
Auqāf	اوقاف	Auqaf;Awqaf;Auqaf Department;Department of Auqaf;Auqaf and Religious Affairs	INSTITUTION	provincial department that administers shrines taken into state management	NAME
Evacuee Trust Property Board	متروکہ وقف املاک بورڈ	ETPB;Evacuee Trust;Auqaf Board	INSTITUTION	federal body managing Hindu and Sikh properties left after Partition	NAME
Pakistan Sikh Gurdwara Parbandhak Committee		PSGPC;Pakistan Sikh Gurdwara Prabandhak Committee;Sikh Gurdwara Parbandhak Committee	INSTITUTION	body administering gurdwaras in Pakistan under the Evacuee Trust Property Board	NAME
Department of Archaeology and Museums		DOAM;Department of Archaeology;Archaeology Department	INSTITUTION	federal and provincial bodies responsible for protected monuments	NAME
Antiquities Act		Antiquities Act 1975;Antiquities Act, 1975;Antiquity Act	INSTITUTION	principal heritage protection legislation, devolved to the provinces in 2010	NAME
