source_id	type	n_shrines	citation
SD5548B	monograph	1	"Directorate General of Archaeology, Government of Punjab, ""Religious Monuments,"" https://archaeology.punjab.gov.pk/religious_monuments, accessed 16 August 2026."
S8BF391	press	1	"*The Karachi Walla*, ""City Landmarks – Bhagnari Temple""."
SA1B785	press	1	"Saleem Shahid, ""Thousands attend festival at Hinglaj Mata temple,"" *Dawn*, 5 May 2025."
SFE6173	press	1	Reporting in *Dawn* and the Sindhi press on the Maha Shivratri pilgrimage to Churrio Jabal.
S99AA43	press	1	Parvez Mahmood, “Miani Sahib: Resting Place of Heroes,” *The Friday Times*, 20 May 2022 (first-hand account naming Ilam Din Shaheed's resting place at Miani Sahib, in the same passage as Wasif Ali Wasif and Tahir Bandagi) — cited here only for the shrine's location.
S0B4534	press	1	Reports in *Dawn* on the annual *urs* and Muharram observances at the shrine of Shah Chan Charagh, Rawalpindi.
S24F0F3	press	1	Contemporary press coverage of Peshawar's surviving Hindu temples (Dawn, The Express Tribune).
SD8582B	press	1	*Dawn* and *The Express Tribune*, reports on the Darya Lal Mandir and its 2015 renovation.
S5F65A7	press	1	"Ema Anis, ""Secrets of Thar: A Jain temple, a mosque and a 'magical' well,"" *Dawn*, 19 February 2016."
SB44303	press	1	Reporting in *Dawn* and the Sikh press on the reopening and restoration of the Sialkot gurdwara (c. 2012–2019).
S064D51	press	1	"Majid Sheikh, ""Harking back: The magical baolis of Arjan and Dina Nath,"" *Dawn*, 1 February 2015."
S7F3A1C	press	1	"Majid Sheikh, ""Harking back: The connection of Dabbi Bazaar to Kartarpur 'pothi',"" *Dawn*, 30 September 2018."
SF5C680	press	1	Contemporary press coverage of the 2016 reopening (*The Express Tribune*, *Scroll.in*, SBS).
S492E57	press	1	Reporting (e.g. *Scroll.in*) on the reopening and present life of Peshawar's gurdwaras.
S6FD997	press	1	"Haroon Khalid, ""A visit to Gujranwala's Eimanabad throws new light on Babur's legacy,"" *Dawn*, 4 January 2017."
S16C9A7	press	1	"""WCLA to help restore Sikh sites in Jhelum,"" *Dawn*, 2 January 2019."
S8EC761	press	1	"SikhNet, ""Guru Nanak in Shikarpur, Sindh"" (news report)."
S111DF6	press	1	Asia Samachar, coverage of the March 2017 All Sindh Balochistan Gurdwara Management Committee meeting, Kandhkot.
SB11560	press	1	"The Express Tribune (APP), ""Antiquity of Saidpur Village lures tourists,"" 28 December 2020."
SF8D136	press	1	"Aamir Saeed, ""In Pakistani capital, a centuries-old temple where Hindus are not allowed to pray,"" Arab News PK, 7 July 2020 (updated 8 July 2020)."
S778C00	press	1	"*Dawn*, ""73 years on, gurdwara restored to Sikhs in Quetta"" (2020) and ""A gurdwara worth the seven-decade wait""."
S1EC592	press	1	"*Bolan Voice*, ""Historical background of the Sikh community in Balochistan province""."
SD3D784	press	1	"The Friday Times, ""At The Darbar Of Baba Gurpat Sahib In Hyderabad"" (26 January 2025)."
S4592A6	press	1	"Odishabytes, ""There's a Jagannath Temple in Pakistan (and Bangladesh) too."""
S25EEB1	press	1	"Sheharyar Rizwan, ""Under-reconstruction Jain Mandir in Lahore all set to reopen,"" *Dawn*, 1 April 2022."
S016FA3	press	1	"""Pakistan set to reopen Lahore's famous Jain temple,"" *The Express Tribune*, 5 December 2021."
S94D52E	press	1	"Muhammad Akbar Notezai, ""Footprints: Descendants of Royalty,"" *Dawn*, 15 October 2017."
SBEE515	press	1	"""Three-day annual festival starts at Kalat's Kali Mandir,"" Associated Press of Pakistan, *The Express Tribune*, 24 January 2023."
S313E25	press	1	*The Express Tribune*, features on the surviving Hindu temples of Peshawar.
SC5CAE0	press	1	*The Friday Times* and *The Express Tribune*, features on the Kalka Devi Temple, Rohri.
SCBD818	press	1	Press and heritage coverage of the 2005 restoration and the Supreme Court proceedings on the Katas pond (Dawn; Scroll.in).
S55F9BE	press	1	*Dawn* and *The Express Tribune*, features on the Krishna Temple, Rawalpindi, and the temples of the twin cities.
S59E28D	press	1	*Dawn* (Prism) and *Scroll.in*, features on the fate and spatial politics of Lahore's Hindu temples.
S1DF1E5	press	1	"Aamir Yasin, ""British colonial legacy lives on in Rawalpindi's Lal Kurti,"" *Dawn*, 12 May 2025."
S8300F6	press	1	"Qaiser Shirazi, ""Century-old Balmik Temple stands test of time,"" *The Express Tribune*, 27 August 2025."
S50976F	press	1	"Shiraz Hassan, ""Lal Kurti – an epitome of religious co-existence,"" *Dawn*, 21 August 2014."
S720690	press	1	"Sufia Zamir, ""Heritage: The Lonely Little Temple,"" *Dawn*, 14 January 2018."
SC4F922	press	1	"""German envoy visits historic shrine,"" *The Express Tribune*, 8 January 2026."
S635A2C	press	1	"*The Friday Times*, ""Jain Legacy of Nagarparkar"" (2019)."
S1FA4E7	press	1	Reporting in *The Friday Times* and *Dawn* on the 2019 heritage listing and the condition of Panj Tirath.
S1E2A68	press	1	"Aamir Yasin, ""'Tourists, restaurants violate sanctity of Saidpur's temple',"" *Dawn*, 9 October 2016."
S6CB48A	press	1	"Aamir Saeed, ""In Pakistani capital, a centuries-old temple where Hindus are not allowed to pray,"" *Arab News* (Pakistan edition), 7 July 2020."
SCB8106	press	1	Contemporary press coverage of the annual Ramapir Mela (Dawn, The Express Tribune).
S033C3A	press	1	Feature reporting on Sadh Belo and its annual festival (Dawn; Scroll.in; *Daily Times*).
S90CCCE	press	1	"Bushra Shehzad, ""Rediscovering our Sikh heritage,"" *Dawn*, 24 May 2012."
SE708F6	press	1	"*Sindh Courier*, ""Dadu: Exploring the Historical Background""."
SB3F995	press	1	"Zulfiqar Ali Kalhoro, ""Historic Temples and Darbars of Chak,"" *The Friday Times*, 2 February 2023."
SF9F06C	press	1	"Shaikh Abdul Rasheed, ""Remembering Bhagat Kanwar Ram,"" *The News on Sunday*, 26 April 2020."
S4B488A	press	1	"""Bhagat Kanwar died for Sindh, says son,"" *Dawn*, 3 November 2008."
SBE683E	press	1	"Cyril Almeida, ""Hindus of upper Sindh: a bruised community carries on,"" *Dawn*, 2 April 2012."
S2FE0EF	press	1	"Mohammad Hussain Khan, ""'Ghotki attacks on Hindu community conspiracy to foment communal unrest,' probe finds,"" *Dawn*, 28 September 2019."
S74F393	press	1	"""Bilawal visits ransacked temple, mosque in Ghotki,"" *Dawn*, 29 September 2019."
SC72AA4	press	1	Contemporary press coverage of the 2019 restoration (Dawn, The Express Tribune, and international agencies).
S717EC3	press	1	Press coverage of the annual Hinglaj Yatra (Dawn; regional and international media).
S14C952	press	1	"*The Friday Times*, ""Mansehra's Shiv temple""."
S8E6A4D	press	1	Reports in *Dawn* and *The Express Tribune* on the reopening and restoration of the temple.
S04DAC0	press	1	*Dawn* and *The Express Tribune*, reports on the Ratneshwar Mahadev Temple and the 2014 Supreme Court order.
SFA15AD	press	1	*Dawn*, reports on the Shri Laxmi Narayan Mandir and the 2012 Sindh High Court order.
S9B5290	press	1	Contemporary press reporting (Arab News, Dawn, The Express Tribune) on the temple and the 2019 discoveries.
S5BBF1F	press	1	Contemporary press reporting (Dawn, The Express Tribune) on Karachi's Hindu heritage and festivals.
S7937A2	press	1	Contemporary press reporting (Dawn, Youlin Magazine, The Express Tribune) on Manora and its temple.
S33E6A5	press	1	Reporting in *Dawn* and *Daily Times* on Udero Lal as a site of interfaith harmony.
SFC5284	press	1	"Sana Jamal and Imran Adnan, ""Bids for conservation of tomb to open on November 18,"" *The Express Tribune*, 5 November 2019."
S0026DD	press	1	"""Govt approves Rs30m to restore historic Multan site,"" *The Express Tribune*, 21 May 2019."
S46C56E	press	1	"Zulfiqar Ali Kalhoro, ""Swamis and Sufis,"" *The Friday Times*, 28 September 2018."
S571D99	press	1	"""'Armed attack' on Girhor Sharif custodian stirs sectarian unrest,"" *Dawn*, 10 June 2015."
S7A36CE	press	1	"Salman Rashid, ""TRAVEL: Pir Chhatal's Mystical Fish,"" *Dawn*, 18 October 2020."
S875A6E	press	1	Reporting in *Dawn* and heritage literature on the decay and endangerment of the Tilla Jogian complex.
S87EF56	press	1	"""Uch Sharif: where the shrine culture began,"" *Dawn*, 27 June 2011."
S03AF0F	press	1	"""Restoration of Uch Sharif tombs goes on,"" *Dawn*, 24 April 2025."
S792B55	press	1	"Majid Sheikh, ""Harking Back: The once 'mud' grave of slave Sultan Aibak,"" *Dawn*, 24 August 2025."
S31CD01	press	1	"Majid Sheikh, ""Harking back: Massive graveyard that Aibak envisaged,"" *Dawn*, 2 June 2024."
S0A1926	press	1	"Contemporary press reporting (Dawn, ""The thriving Shiva festival in Umarkot"") on Maha Shivaratri at the temple."
S9FE763	press	1	"*Dawn*, ""Harking Back: Valmiki's temple could be Lahore's oldest structure""."
SD9B36F	press	1	"*Dawn*, ""Valmikis converge on Lahore temple 'after 20 years'""."
S8F1741	press	1	"*The Express Tribune*, ""Nila Gumbad Mandar: The story of a temple""."
S05E32C	press	1	"Shiraz Hassan, ""Historic temple's days may be numbered,"" *Dawn*, 28 August 2014."
SB9B83F	press	1	"Uroosa Jadoon, ""'No temple of their own': Islamabad's Hindus still wait for promised place of worship,"" *Arab News*, 29 August 2025."
SD3B81E	primary text	1	Shah Abdul Latif Bhittai, *Shah Jo Risalo* (his collected Sindhi poetry; line quoted in standard published wording).
S0BE5A4	primary text	1	Ali ibn Usman al-Hujwiri, *Kashf al-Mahjub* (“The Unveiling of the Veiled”) — the saint’s own Persian treatise on Sufism (Urdu translations in the project collection).
SBE74EA	primary text	1	Sultan Bahu, *Abyat-e-Bahu* (his Punjabi quatrains; verse quoted in standard published wording).
S3002D0	primary text	1	The *Janamsakhi* traditions of Guru Nanak's visit to Sialkot and his meeting with Hamza Ghaus.
SEB786D	primary text	1	The *Puratan Janamsakhi* and allied *Janamsakhi* traditions preserving the account of the Guru's passing.
S7325CB	primary text	1	Pashaura Singh, *The Life and Work of Guru Arjan* (Oxford University Press), on the fifth Guru, the compilation of the *Adi Granth*, and the martyrdom.
S3717E8	primary text	1	The *Tuzuk-i-Jahangiri* (memoirs of the Emperor Jahangir), a primary source for the imperial order against Guru Arjan.
S3169A6	primary text	1	Max Arthur Macauliffe, *The Sikh Religion: Its Gurus, Sacred Writings and Authors* (1909), and the *Janamsakhi* accounts of Guru Nanak's *udasis*.
SC5D556	primary text	1	Guru Nanak, *Patti Likhi*, in *Rag Asa*, *Guru Granth Sahib*.
S3178AD	primary text	1	The *Janamsakhi* accounts of Guru Nanak's schooling at Rai Bhoi di Talwandi.
SAC4CE5	primary text	1	The *Janamsakhi* traditions of Guru Nanak's childhood at Rai Bhoi di Talwandi.
S86FCA7	primary text	1	"The *Janamsakhi* traditions of the *sacha sauda* (the ""true bargain"") and Guru Nanak's boyhood."
S64014D	primary text	1	Max Arthur Macauliffe, *The Sikh Religion: Its Gurus, Sacred Writings and Authors* (1909), and the *Janamsakhi* traditions preserving the birth narratives.
SEC24C6	primary text	1	Xuanzang (Hiuen Tsang), *Records of the Western Regions* (Si-Yu-Ki), for the early Buddhist presence.
SE962C1	primary text	1	The *Mahabharata* and Puranic *tirtha* literature for the Shiva and Pandava traditions.
SF16BEA	primary text	1	"Staff Reporter, ""Desecration of Guru Granth Sahib across Sindh cities slammed,"" *Dawn*, 28 August 2013."
S2718AC	primary text	1	Waris Shah, *Heer* (1766; verse quoted in standard published wording).
SD7C867	primary text	1	Bulleh Shah, *Kafian* (his collected Punjabi kafis; verses quoted in standard published wording).
SEB8F22	primary text	1	Khwaja Ghulam Farid, *Diwan-e-Farid* (his Seraiki kafis; line quoted in standard published wording).
S674A88	primary text	1	Rahman Baba, *Diwan* (his Pashto poetry; the quoted teaching given here in English translation only).
S2DC698	primary text	1	*Devi Bhagavata Purana* and the *Shakta* Peetha literature for the legend of Sati and the fifty-one seats.
S316B17	primary text	1	Kalhana, *Rajatarangini* (the twelfth-century chronicle of Kashmir), for the shrine's medieval renown.
SD9F182	primary text	1	Aurel Stein, *Kalhana's Rajatarangini: A Chronicle of the Kings of Kashmir* (translation and topographical notes locating Sharada).
S2F134F	primary text	1	Farid’s *shlokas* as preserved in the Guru Granth Sahib and in Punjabi tradition (verses quoted in standard published wording).
S975863	primary text	1	The collected poetry (*Risalo/Kalam*) of Sachal Sarmast in Sindhi and Seraiki.
SBF6784	primary text	1	Waris Shah, *Heer* (eighteenth century), the classic Punjabi verse-romance featuring Ranjha's initiation at Tilla Jogian.
S84243F	register	1	Directorate of Archaeology & Museums, Khyber Pakhtunkhwa, site documentation for Peshawar's temples.
SBF04EE	register	1	Khan Mohammad Waliullah Khan, *Sikh Shrines in West Pakistan*, Memoir of the Department of Archaeology in Pakistan No. 3 (Karachi: Department of Archaeology, Government of Pakistan, 1962), entry 3, Plate No. 32.
S915C26	register	1	Reports of the Evacuee Trust Property Board, Government of Pakistan.
SDE6FDA	register	1	Khan Mohammad Waliullah Khan, *Sikh Shrines in West Pakistan*, Memoir of the Department of Archaeology in Pakistan No. 3 (Department of Archaeology, Government of Pakistan, 1962), entry 2, Gujranwala District.
S7553FE	register	1	"Khan Mohammad Waliullah Khan, *Sikh Shrines in West Pakistan*, Memoir of the Department of Archaeology in Pakistan No. 3 (Department of Archaeology, Government of Pakistan, 1962), Appendix 2, ""List of the Shrines."""
S70FB3C	register	1	Khan Mohammad Waliullah Khan, *Sikh Shrines in West Pakistan*, Memoir of the Department of Archaeology in Pakistan No. 3 (Department of Archaeology, Government of Pakistan, 1962), entry 6, Lahore District.
S2700AE	register	1	UNESCO and international press coverage of the Kartarpur Corridor and its inauguration for Guru Nanak's 550th *Prakash Utsav* (2019).
S0DB426	register	1	Records of the Evacuee Trust Property Board (ETPB) and heritage documentation of the Lahore Fort and Badshahi Mosque ensemble.
S513242	register	1	"Khan Mohammad Waliullah Khan, *Sikh Shrines in West Pakistan* (Department of Archaeology, Government of Pakistan, 1962), entry 22 (""Gurdwara Mal Ji Sahib""), Plate No. 20."
S6B8331	register	1	Records of the Evacuee Trust Property Board (ETPB) and press coverage of the Baisakhi pilgrimages to Panja Sahib.
S271879	register	1	Shiromani Gurdwara Parbandhak Committee and Evacuee Trust Property Board listings of the Nankana gurdwaras.
S0D0FD2	register	1	Government of Pakistan, Evacuee Trust Property Board, records on Sikh heritage gurdwaras.
SF715ED	register	1	Shiromani Gurdwara Parbandhak Committee and SikhiWiki, entries on Gurdwara Shahid Ganj Singhnian, Lahore.
S5AE671	register	1	Shiromani Gurdwara Parbandhak Committee and Pakistan Sikh Gurdwara Parbandhak Committee accounts of the Nankana Sahib shrines.
S8CD1BF	register	1	Shiromani Gurdwara Parbandhak Committee and Pakistan Sikh Gurdwara Parbandhak Committee accounts of the Nankana shrines.
S535FB0	register	1	Records of the Evacuee Trust Property Board (ETPB) and Government of Punjab heritage listings, together with press coverage of the annual Gurpurab pilgrimages.
S05E7E0	register	1	Reports of the Evacuee Trust Property Board on Hindu shrines in Khyber Pakhtunkhwa.
S86291A	register	1	"UNESCO World Heritage Centre, tentative list entry, ""Nagarparkar Cultural Landscape"" (2016)."
SBC776B	register	1	Directorate of Archaeology, Khyber Pakhtunkhwa, notifications under the KP Antiquities Act 2016.
S9940C1	register	1	Reports on the 1992 destruction of Hindu temples in Pakistan and the status of Evacuee Trust properties.
SF23B25	register	1	Auqaf and Religious Affairs Department, Government of the Punjab, register of shrines and darbars.
SDC0560	register	1	Evacuee Trust Property Board listings of functioning temples in Sindh.
S3DC615	register	1	Punjab Auqaf & Religious Affairs Department, list of notified shrines, Sargodha zone.
SBCD403	register	1	Reports of the Evacuee Trust Property Board (Pakistan) and the Sir Ganga Ram Heritage Foundation on temple conservation.
S269E0D	register	1	UNESCO Tentative List documentation for the Hingol Cultural Landscape.
SE978E9	register	1	Government of Pakistan / Evacuee Trust Property Board records on functioning Hindu temples.
SD7B45C	register	1	"Auqaf & Religious Affairs Department, Government of Punjab, ""Shrines"" (official shrine listing), https://auqaf.punjab.gov.pk/shrines, accessed 16 August 2026."
SC7E764	register	1	"UNESCO World Heritage Centre, ""Tomb of Bibi Jawindi, Baha'al-Halim and Ustead and the Tomb and Mosque of Jalaluddin Bukhari,"" Tentative Lists, Ref. 1883, submitted 30 January 2004 (Department of Archaeology and Museums, Government of Pakistan), https://whc.unesco.org/en/tentativelists/1883/."
SAB9F57	register	1	Reporting of the Pakistan Hindu Council and Evacuee Trust Property Board on functioning temples in Lahore.
S42DCE2	tazkira	1	"Local hagiographical (*malfuzat* and *tazkira*) traditions concerning Sayyid Shah Zaman ""Chan Charagh"" and his lineage."
S995ADB	tazkira	1	Alam Faqri, *Tazkirah Awliya-e-Pakistan* (biographical accounts of the saints and shrines of Pakistan).
S784A11	tazkira	1	General histories of the Chishti order in South Asia, e.g. K. A. Nizami, *The Life and Times of Shaikh Nizam-ud-din Auliya* and studies of the Chishti-Nizami *silsila*.
SB897A7	tazkira	1	Alam Faqri, *Tazkirah Awliya-e-Pakistan* (Lahore) — compendium of the saints of Pakistan, including Bahauddin Zakariya.
SEFCC17	tazkira	1	Earlier works cited within the above: Mufti Ghulam Sarwar Lahori, *Hadiqat al-Auliya* and *Khazinat al-Asfiya*; *Tazkira-e-Hamidiya*; *Tuhfat al-Wasilin*; Rai Bahadur Kanhaiya Lal, *Tareekh-e-Lahore*; *Nuqoosh: Lahore Number*.
SAD03EF	tazkira	1	Alam Faqri, *Tazkirah Awliya-e-Pakistan* (Lahore) — compendium of the saints of Pakistan, including Baba Farid.
S8D358F	tazkira	1	Alam Faqri, *Tazkirah Awliya-e-Pakistan*, and general histories of Mughal-era Punjabi Sufism, for the life and cult of the saint.
S0DD63F	tazkira	1	Alam Faqri, *Tazkirah Awliya-e-Pakistan*, and comparable hagiographical compendia of the saints of Pakistan.
SB1AAFE	tazkira	1	Qalandar Baba Auliya, *Loh-o-Qalam* — the saint's principal work.
SDA39A3	tazkira	1	(This saint post-dates the Tazkirah Awliya-e-Pakistan compendium; entry based on established modern accounts.)
SB27389	tazkira	1	Alam Faqri, *Tazkirah Awliya-e-Pakistan* (Lahore) — compendium of the saints of Pakistan, including Shah Rukn-e-Alam.
SC4F2C5	tazkira	1	Family and community traditions (*shajra* and oral *tazkira*) of the Bukhari *sayyids* of Wadpagga Sharif, Peshawar.
S8AB11D	unclassified	1	Studies of Hindu Shahi temple architecture in the Salt Range and Gandhara.
S36BA25	unclassified	1	Journalistic and heritage accounts of the temples of the Mithadar and Lea Market quarters of old Karachi.
S59D52D	unclassified	1	Published accounts and photo-documentation of the annual Hinglaj pilgrimage.
SB47987	unclassified	1	Studies of Hindu communities and sacred geography in Tharparkar and Nagarparkar.
SDB110C	unclassified	1	Government of Balochistan, Culture Department — portal listing the shrines and Sufi heritage of Balochistan.
SDD437C	unclassified	1	Studies of the pre-Partition Hindu community of Peshawar and the Gor Khatri complex.
S49EA2D	unclassified	1	Contemporary Pakistani press coverage of the *urs* and *milad* gatherings at Eidgah Sharif and of its custodians.
S740539	unclassified	1	Documentation of the Directorate General of Archaeology & Museums, Khyber Pakhtunkhwa, on Gor Khatri and the Goraknath Temple.
S421D62	unclassified	1	Excavation reports associated with Professor Farzand Ali Durrani and Professor Ihsan Ali on the Gor Khatri stratigraphy.
SA41E0C	unclassified	1	Mughal-era accounts and histories of Peshawar noting Jahan Ara Begum's Sarai Jahanabad.
S961F48	unclassified	1	"""Gori Temple,"" Heritage of Sindh (Endowment Fund Trust for Preservation of the Heritage of Sindh), https://heritage.eftsindh.com/districts/tharparkar/gori-temple.php."
S5BEDF0	unclassified	1	Zulfiqar Ali Kalhoro, published writing on Sindh's Nanakpanthi saints, including the distinct Bhai Gurdas of Shikarpur (for contrast only).
SDF67E7	unclassified	1	"""Gurdwara Beri Sahib"" (Babe di Ber), Sialkot, in Sikh reference works and heritage listings."
SAD4929	unclassified	1	Pakistan Sikh Gurdwara Parbandhak Committee accounts of the historic gurdwaras of the Punjab.
S93D32B	unclassified	1	"""Bhai Joga Singh"" and ""Gurdwara Bhai Joga Singh (Peshawar),"" in Sikh reference works and encyclopaedias."
S9D6065	unclassified	1	Traditional accounts of Bhai Joga Singh in the *Sikh* devotional literature of the era of Guru Gobind Singh.
SCEEBB7	unclassified	1	Histories of Hari Singh Nalwa and Sikh rule in Peshawar and the frontier.
SB1688E	unclassified	1	Studies of the Walled City of Lahore by the Aga Khan Trust for Culture and the Walled City of Lahore Authority.
S17F6F2	unclassified	1	Accounts of Guru Hargobind's return from Kashmir and his visit to Nankana Sahib (Samvat 1670 / 1613 CE).
SD9060B	unclassified	1	Pakistan Sikh Gurdwara Parbandhak Committee and pilgrimage guides to the shrines of Nankana Sahib.
S4D4B53	unclassified	1	World Gurudwaras, entry on Gurdwara Sri Guru Singh Sabha, Quetta.
S891F6D	unclassified	1	"Histories of Sant Gurmukh Singh ""Sevavale"" and the pre-Partition rebuilding of Sikh gurdwaras."
S3F5C1F	unclassified	1	Local and regional press coverage of the annual Kalat Kali festival.
SB04486	unclassified	1	"Endowment Fund Trust for Preservation of the Heritage of Sindh, ""Heritage of Sindh"" documentation."
S5EC735	unclassified	1	Subhash Parihar and regional studies on the Hindu Shahi temple architecture of the Salt Range.
S3EBAFD	unclassified	1	Heritage surveys of Rawalpindi's colonial-era architecture.
SD62D18	unclassified	1	Hindu American Foundation and other reports on the condition of Lahore's temples.
S10C2F3	unclassified	1	Richard M. Eaton, essays on the Sufi shrines and the Islamisation of the Punjab and the Indus frontier.
SEC0913	unclassified	1	"""Temple of Loh — a connection between Prince Loh and Lahore,"" Walled City of Lahore Authority, walledcitylahore.gop.pk."
S95BB46	unclassified	1	Endowment Fund Trust for Preservation of the Heritage of Sindh, documentation on the Nagarparkar temples.
S9DEF9D	unclassified	1	Haroon Khalid, writings on the folk and minority religious heritage of the Pakistani Punjab.
SFC5F82	unclassified	1	Michel Boivin, studies of the shared religious culture and shrines of Sindh.
SAF2379	unclassified	1	Reports of the Pakistan Hindu Council on the temples and festivals of Sindh.
S0AEEDA	unclassified	1	Documentation on Sadh Belo and its founding in surveys of the heritage of Sindh.
S262B2C	unclassified	1	Studies of the *Udasi* order and the legacy of Sri Chand in Sindh.
SE4BA6E	unclassified	1	Regional histories of Hindu Sindh and the shrines of the Sukkur–Rohri Indus corridor.
S81DE13	unclassified	1	"Zulfiqar Ali Kalhoro, writings on the Hindu shrines and saint-cults of Sindh (e.g. ""Sindh: A Place of Sadhus, Sanyasis, Sants, Udasis, Bairagis and Sufis"")."
S521497	unclassified	1	"District school directories, Sargodha (locality confirmation: ""GHS Shah Yousaf, Shahpur"")."
SCD8947	unclassified	1	Reeta Grewal and others on the urban and religious history of the colonial and pre-colonial Punjab.
S255060	unclassified	1	Ethnographic accounts of the Aghori and Charan traditions associated with Hinglaj.
S9E0527	unclassified	1	Contemporary heritage and press coverage of conservation appeals and the Sharada corridor initiative (Kashmir press; Indian and Pakistani media).
S42707E	unclassified	1	Habib University Ethnography Lab, field documentation of the Shree Ratneshwar Mahadev Temple.
S2B2B7B	unclassified	1	Sir Ganga Ram Heritage Foundation documentation on Karachi's Hindu temples.
SBE79C3	unclassified	1	Studies of Partition migration through the port of Karachi.
S0F0F64	unclassified	1	Studies of the cult of Jhulelal and water-veneration among Sindhi Hindus.
S4B02B4	unclassified	1	Heritage documentation of Manora Island and Karachi's endangered monuments.
S2C89C4	unclassified	1	Studies of the Jhulelal / Zinda Pir cult and Cheti Chand among Sindhi Hindus.
S42ADF9	unclassified	1	Academic work on shared sacred spaces and river veneration in Sindh.
S011EFF	unclassified	1	Academic study of Sufis and pre-colonial Muslim rulers of India (full citation to be confirmed from source PDF) — corroborates the Aurangzeb construction date.
S3F577E	unclassified	1	"M. Miles, ""The Chuas of Shah Daulah at Gujrat, Pakistan: Evidence, Historical Background and Development"" (survey with extensive bibliography of sources from 1839 onward), Independent Living Institute."
SA5F5E9	unclassified	1	"Contemporary Pakistani press and local commemorative accounts of Imam Ali-ul-Haq (""Imam Sahib"") and the *urs* held at his Sialkot shrine."
S6A9F28	unclassified	1	Established histories of the Azeemia Sufi order (and the writings of Khwaja Shamsuddin Azeemi).
SC5E5FE	unclassified	1	"Directorate General of Archaeology, Government of Punjab, ""Tomb of Qutb-ud-Din Aibak, Anarkali Bazar Lahore,"" https://archaeology.punjab.gov.pk/qutbuddin_aibak."
S43D152	unclassified	1	Studies of Hindu communities and pilgrimage in modern Sindh.
S697930	unclassified	1	Studies of the Bukhari Suhrawardi lineage of Jalaluddin Surkh-Posh and Makhdoom Jahaniyan Jahangasht of Uch.
