name	source_id	type	citation
Langer Makhdoom	S10C2F3	unclassified	Richard M. Eaton, essays on the Sufi shrines and the Islamisation of the Punjab and the Indus frontier.
Langer Makhdoom	S3BE4DC	book	David Gilmartin, *Empire and Islam: Punjab and the Making of Pakistan* (on shrine culture in rural Punjab).
Langer Makhdoom	S8022FD	book	Annemarie Schimmel, *Mystical Dimensions of Islam* (University of North Carolina Press).
Langer Makhdoom	SB5E321	gazetteer	Punjab district gazetteers for the Chiniot / Jhang region.
Mausoleum of Waris Shah	S2718AC	primary text	Waris Shah, *Heer* (1766; verse quoted in standard published wording).
Mausoleum of Waris Shah	S97322F	tazkira	Alam Faqri, *Tazkirah Awliya-e-Pakistan* (Lahore) — compendium of the saints of Pakistan.
Mazar of Bulleh Shah	S97322F	tazkira	Alam Faqri, *Tazkirah Awliya-e-Pakistan* (Lahore) — compendium of the saints of Pakistan.
Mazar of Bulleh Shah	SD7C867	primary text	Bulleh Shah, *Kafian* (his collected Punjabi kafis; verses quoted in standard published wording).
Mithankot (Kot Mithan)	S97322F	tazkira	Alam Faqri, *Tazkirah Awliya-e-Pakistan* (Lahore) — compendium of the saints of Pakistan.
Mithankot (Kot Mithan)	SEB8F22	primary text	Khwaja Ghulam Farid, *Diwan-e-Farid* (his Seraiki kafis; line quoted in standard published wording).
Nagarparkar Jain Temples (Nagarparkar Cultural Landscape)	S635A2C	press	"*The Friday Times*, ""Jain Legacy of Nagarparkar"" (2019)."
Nagarparkar Jain Temples (Nagarparkar Cultural Landscape)	S86291A	register	"UNESCO World Heritage Centre, tentative list entry, ""Nagarparkar Cultural Landscape"" (2016)."
Nagarparkar Jain Temples (Nagarparkar Cultural Landscape)	S93B799	book	Ahmad Nabi Khan, *Islamic Architecture of Pakistan* (for the Bhodesar mosque and regional context).
Nagarparkar Jain Temples (Nagarparkar Cultural Landscape)	S95BB46	unclassified	Endowment Fund Trust for Preservation of the Heritage of Sindh, documentation on the Nagarparkar temples.
Nagarparkar Jain Temples (Nagarparkar Cultural Landscape)	SF356D9	encyclopaedia	"Wikipedia, ""Nagarparkar Jain temples"" and ""Nagarparkar"" (with cited sources)."
Panj Tirath	S1FA4E7	press	Reporting in *The Friday Times* and *Dawn* on the 2019 heritage listing and the condition of Panj Tirath.
Panj Tirath	S925C59	book	A. Cunningham, *The Ancient Geography of India*, and A. Foucher's studies, on the Buddhist associations of Peshawar (*Purushapura*).
Panj Tirath	SBC776B	register	Directorate of Archaeology, Khyber Pakhtunkhwa, notifications under the KP Antiquities Act 2016.
Panj Tirath	SE92C51	book	Munshi Gopal Das, *Tareekh-e-Peshawar* (1874), for the tradition linking the site to the sons of Pandu.
Parnami Mandir	S6C1C3B	encyclopaedia	"Wikipedia, ""Pranami"" (Pranami Sampradaya) and ""Mahamati Prannath"", with cited sources."
Parnami Mandir	S9436B5	book	Documentation of the Malka Hans temple by heritage writers on Pakistan's Hindu monuments (e.g. the *lahOre and mOre* and Ali Usman Baig field accounts).
Parnami Mandir	S9DEF9D	unclassified	Haroon Khalid, writings on the folk and minority religious heritage of the Pakistani Punjab.
Parnami Mandir	SAB2CD0	book	General literature on the *bhakti* movements of western India and their spread into Sindh and the Punjab.
Prahladpuri Temple	S3747C4	gazetteer	Colonial-era accounts of the 1848 Siege of Multan and *Multan District Gazetteer* notices of the fort and its shrines.
Prahladpuri Temple	S933BA2	book	Studies of the *Narasimha* and *Holika*–Prahlada legend cycle in Vaishnava tradition.
Prahladpuri Temple	S9940C1	register	Reports on the 1992 destruction of Hindu temples in Pakistan and the status of Evacuee Trust properties.
Purana Bhalwal	S2C1284	monograph	Katherine Ewing, *Arguing Sainthood: Modernity, Psychoanalysis, and Islam* (Duke University Press, 1997).
Purana Bhalwal	S7027C2	gazetteer	Gazetteer of the Shahpur District (the historic district encompassing Bhalwal and Sargodha), Punjab Government.
Purana Bhalwal	S7DFD97	monograph	Jürgen Wasim Frembgen, *Journey to God: Sufis and Dervishes in Islam* (Oxford University Press, 2008).
Purana Bhalwal	SF23B25	register	Auqaf and Religious Affairs Department, Government of the Punjab, register of shrines and darbars.
Rahman Baba Mausoleum (Rehman Baba Shrine)	S674A88	primary text	Rahman Baba, *Diwan* (his Pashto poetry; the quoted teaching given here in English translation only).
Rahman Baba Mausoleum (Rehman Baba Shrine)	S97322F	tazkira	Alam Faqri, *Tazkirah Awliya-e-Pakistan* (Lahore) — compendium of the saints of Pakistan.
Ramapir Temple, Tando Allahyar	SAF2379	unclassified	Reports of the Pakistan Hindu Council on the temples and festivals of Sindh.
Ramapir Temple, Tando Allahyar	SB0EED3	monograph	Dominique-Sila Khan, *Conversions and Shifting Identities: Ramdev Pir and the Ismailis in Rajasthan* (Manohar).
Ramapir Temple, Tando Allahyar	SB3F9D5	gazetteer	Regional gazetteer material on the cult of Ramdev Pir and Ramdevra.
Ramapir Temple, Tando Allahyar	SCB8106	press	Contemporary press coverage of the annual Ramapir Mela (Dawn, The Express Tribune).
Ramapir Temple, Tando Allahyar	SFC5F82	unclassified	Michel Boivin, studies of the shared religious culture and shrines of Sindh.
Ranmal Sharif	S97322F	tazkira	Alam Faqri, *Tazkirah Awliya-e-Pakistan* (Lahore) — compendium of the saints of Pakistan.
Sadh Belo (Sadh Belo Island Temple)	S033C3A	press	Feature reporting on Sadh Belo and its annual festival (Dawn; Scroll.in; *Daily Times*).
Sadh Belo (Sadh Belo Island Temple)	S0AEEDA	unclassified	Documentation on Sadh Belo and its founding in surveys of the heritage of Sindh.
Sadh Belo (Sadh Belo Island Temple)	S205092	book	Accounts of the *gaddi nashin* lineage and the nineteenth-century building of the temple complex.
Sadh Belo (Sadh Belo Island Temple)	S262B2C	unclassified	Studies of the *Udasi* order and the legacy of Sri Chand in Sindh.
Sadh Belo (Sadh Belo Island Temple)	SE4BA6E	unclassified	Regional histories of Hindu Sindh and the shrines of the Sukkur–Rohri Indus corridor.
Sakhi Sarwar	S97322F	tazkira	Alam Faqri, *Tazkirah Awliya-e-Pakistan* (Lahore) — compendium of the saints of Pakistan.
Sant Baba Bhagat Ram Darbar Mandir	S5321A5	encyclopaedia	"Wikipedia, ""Hinduism in Sindh"" and ""Dadu, Sindh"", with cited sources."
Sant Baba Bhagat Ram Darbar Mandir	S81DE13	unclassified	"Zulfiqar Ali Kalhoro, writings on the Hindu shrines and saint-cults of Sindh (e.g. ""Sindh: A Place of Sadhus, Sanyasis, Sants, Udasis, Bairagis and Sufis"")."
Sant Baba Bhagat Ram Darbar Mandir	SDC0560	register	Evacuee Trust Property Board listings of functioning temples in Sindh.
Sant Baba Bhagat Ram Darbar Mandir	SE708F6	press	"*Sindh Courier*, ""Dadu: Exploring the Historical Background""."
Shah Noorani Shrine (Syed Bilawal Shah Noorani)	S97322F	tazkira	Alam Faqri, *Tazkirah Awliya-e-Pakistan* (Lahore) — compendium of the saints of Pakistan.
Shah Yousuf	S3DC615	register	Punjab Auqaf & Religious Affairs Department, list of notified shrines, Sargodha zone.
Shah Yousuf	S521497	unclassified	"District school directories, Sargodha (locality confirmation: ""GHS Shah Yousaf, Shahpur"")."
Shahwala Teja Singh Mandir	SBCD403	register	Reports of the Evacuee Trust Property Board (Pakistan) and the Sir Ganga Ram Heritage Foundation on temple conservation.
Shahwala Teja Singh Mandir	SC72AA4	press	Contemporary press coverage of the 2019 restoration (Dawn, The Express Tribune, and international agencies).
Shahwala Teja Singh Mandir	SCB0B67	book	Prakash Tandon, *Punjabi Century* (for the texture of Hindu life in pre-Partition Punjab).
Shahwala Teja Singh Mandir	SCD8947	unclassified	Reeta Grewal and others on the urban and religious history of the colonial and pre-colonial Punjab.
Shahwala Teja Singh Mandir	SF8EBA0	book	George Michell, *The Hindu Temple: An Introduction to Its Meaning and Forms* (on the *nagara* tradition).
Shaktipeeth Shri Hinglaj Mata Mandir	S255060	unclassified	Ethnographic accounts of the Aghori and Charan traditions associated with Hinglaj.
Shaktipeeth Shri Hinglaj Mata Mandir	S269E0D	register	UNESCO Tentative List documentation for the Hingol Cultural Landscape.
Shaktipeeth Shri Hinglaj Mata Mandir	S2DC698	primary text	*Devi Bhagavata Purana* and the *Shakta* Peetha literature for the legend of Sati and the fifty-one seats.
Shaktipeeth Shri Hinglaj Mata Mandir	S62863A	book	Jürgen Schaflechner, *Hinglaj Devi: Identity, Change, and Solidification at a Hindu Temple in Pakistan* (scholarly monograph on the shrine and its pilgrimage).
Shaktipeeth Shri Hinglaj Mata Mandir	S717EC3	press	Press coverage of the annual Hinglaj Yatra (Dawn; regional and international media).
Shamsabad	S166956	book	Annemarie Schimmel, *Mystical Dimensions of Islam* (University of North Carolina Press), on the qalandars and the Qadiri order.
Shamsabad	S17E181	book	Devotional accounts of Hazrat Shams Ali Qalandar and his *Tegh-e-Barahna* (to be used with due caution).
Shamsabad	S2C1284	book	Katherine Ewing, *Arguing Sainthood: Modernity, Psychoanalysis, and Islam* (on modern Punjabi Sufism and shrine devotion).
Shamsabad	S7DFD97	book	Jürgen Wasim Frembgen, *Journey to God: Sufis and Dervishes in Islam* (on qalandar traditions).
Shamsabad	SD2B033	gazetteer	Punjab district gazetteer material for the Okara / Depalpur region.
Sharada Peeth	S316B17	primary text	Kalhana, *Rajatarangini* (the twelfth-century chronicle of Kashmir), for the shrine's medieval renown.
Sharada Peeth	S7B1AE0	book	Adi Shankara's hymns enumerating the eighteen *Maha Shakti Peethas*.
Sharada Peeth	S92EC41	book	Studies on the development of the *Sharada* script and Sanskrit manuscript culture in Kashmir.
Sharada Peeth	S9E0527	unclassified	Contemporary heritage and press coverage of conservation appeals and the Sharada corridor initiative (Kashmir press; Indian and Pakistani media).
Sharada Peeth	SD9F182	primary text	Aurel Stein, *Kalhana's Rajatarangini: A Chronicle of the Kings of Kashmir* (translation and topographical notes locating Sharada).
Shergarh	S97322F	tazkira	Alam Faqri, *Tazkirah Awliya-e-Pakistan* (Lahore) — compendium of the saints of Pakistan.
Shiv Mandir Chiti Ghati	S14C952	press	"*The Friday Times*, ""Mansehra's Shiv temple""."
Shiv Mandir Chiti Ghati	S3E7763	encyclopaedia	"Wikipedia, ""Mansehra Shiva Temple"" and ""Chitti Gatti"" (with cited sources)."
Shiv Mandir Chiti Ghati	S8E6A4D	press	Reports in *Dawn* and *The Express Tribune* on the reopening and restoration of the temple.
Shiv Mandir Chiti Ghati	SE24967	monograph	Reema Abbasi, *Historic Temples in Pakistan: A Call to Conscience* (Niyogi Books).
Shree Ratneshwar Mahadev Temple, Karachi	S04DAC0	press	*Dawn* and *The Express Tribune*, reports on the Ratneshwar Mahadev Temple and the 2014 Supreme Court order.
Shree Ratneshwar Mahadev Temple, Karachi	S3B0BB0	encyclopaedia	"Wikipedia, ""Shree Ratneshwar Mahadev Temple, Karachi"" and ""Jehangir Kothari Parade"" (with cited sources)."
Shree Ratneshwar Mahadev Temple, Karachi	S42707E	unclassified	Habib University Ethnography Lab, field documentation of the Shree Ratneshwar Mahadev Temple.
Shree Ratneshwar Mahadev Temple, Karachi	SE24967	monograph	Reema Abbasi, *Historic Temples in Pakistan: A Call to Conscience* (Niyogi Books).
Shri Laxmi Narayan Mandir (Native Jetty Bridge)	S18C479	unclassified	Endowment Fund Trust for Preservation of the Heritage of Sindh, documentation on Karachi temples.
Shri Laxmi Narayan Mandir (Native Jetty Bridge)	S8E758C	monograph	Reema Abbasi, *Historic Temples in Pakistan: A Call to Conscience* (Niyogi Books), for Karachi's Hindu shrines.
Shri Laxmi Narayan Mandir (Native Jetty Bridge)	SA621FA	encyclopaedia	"Wikipedia, ""Shri Laxmi Narayan Mandir"" (Karachi) (with cited sources)."
Shri Laxmi Narayan Mandir (Native Jetty Bridge)	SFA15AD	press	*Dawn*, reports on the Shri Laxmi Narayan Mandir and the 2012 Sindh High Court order.
Shri Panchmukhi Hanuman Mandir (Karachi)	S2B2B7B	unclassified	Sir Ganga Ram Heritage Foundation documentation on Karachi's Hindu temples.
Shri Panchmukhi Hanuman Mandir (Karachi)	S5ED67E	monograph	Lutgendorf, Philip. *Hanuman's Tale: The Messages of a Divine Monkey*. Oxford University Press.
Shri Panchmukhi Hanuman Mandir (Karachi)	S9B5290	press	Contemporary press reporting (Arab News, Dawn, The Express Tribune) on the temple and the 2019 discoveries.
Shri Panchmukhi Hanuman Mandir (Karachi)	SB5DD1A	book	*The Rāmāyaṇa* of Valmiki (for the traditions of Hanuman and Rama's exile).
Shri Panchmukhi Hanuman Mandir (Karachi)	SE5DCD0	monograph	Sindh Cultural Heritage (Preservation) Act 1994 and related heritage listings.
Shri Swaminarayan Mandir, Karachi	S56CDD4	monograph	Markovits, Claude. *The Global World of Indian Merchants, 1750–1947*. Cambridge University Press.
Shri Swaminarayan Mandir, Karachi	S5BBF1F	press	Contemporary press reporting (Dawn, The Express Tribune) on Karachi's Hindu heritage and festivals.
Shri Swaminarayan Mandir, Karachi	SBE79C3	unclassified	Studies of Partition migration through the port of Karachi.
Shri Swaminarayan Mandir, Karachi	SCB74FD	monograph	Williams, Raymond Brady. *An Introduction to Swaminarayan Hinduism*. Cambridge University Press.
Shri Swaminarayan Mandir, Karachi	SE978E9	register	Government of Pakistan / Evacuee Trust Property Board records on functioning Hindu temples.
Shri Varun Dev Mandir	S0DCD64	book	Boivin, Michel. *Historical Dictionary of the Sufi Culture of Sindh* and related studies on Sindhi religion.
Shri Varun Dev Mandir	S0F0F64	unclassified	Studies of the cult of Jhulelal and water-veneration among Sindhi Hindus.
Shri Varun Dev Mandir	S4B02B4	unclassified	Heritage documentation of Manora Island and Karachi's endangered monuments.
Shri Varun Dev Mandir	S7937A2	press	Contemporary press reporting (Dawn, Youlin Magazine, The Express Tribune) on Manora and its temple.
Shri Varun Dev Mandir	SF814AA	book	Cousens, Henry. *The Antiquities of Sindh, with Historical Outline*. Archaeological Survey of India.
Shrine at Odero Lal (Udero Lal Teerath Asthan)	S2C89C4	unclassified	Studies of the Jhulelal / Zinda Pir cult and Cheti Chand among Sindhi Hindus.
Shrine at Odero Lal (Udero Lal Teerath Asthan)	S33E6A5	press	Reporting in *Dawn* and *Daily Times* on Udero Lal as a site of interfaith harmony.
Shrine at Odero Lal (Udero Lal Teerath Asthan)	S42ADF9	unclassified	Academic work on shared sacred spaces and river veneration in Sindh.
Shrine of Abdullah Shah Ghazi	S97322F	tazkira	Alam Faqri, *Tazkirah Awliya-e-Pakistan* (Lahore) — compendium of the saints of Pakistan.
Shrine of Abul Faiz Qalander Ali Suharwardi	S3FA6E9	field survey	Shrines Project field survey, Darbar Abul Faiz Qalandari responses (surveyor: Saifullah), 2026.
Shrine of Abul Faiz Qalander Ali Suharwardi	S83994A	book	*Darbar Abul Faiz Qalandari Gilani Soharwardi* — Urdu account of the shrine and lineage.
Shrine of Abul Faiz Qalander Ali Suharwardi	SA3C8C6	book	Sayyid Abul Faiz Qalandar Ali Suhrawardi, *Jamal-e-Rasool* (Lahore: Oriental Publications) — the saint’s own devotional work in praise of the Prophet.
Shrine of Abul Faiz Qalander Ali Suharwardi	SBDF1D8	book	Professor Dilawar Khan, *Talzeem-e-Ala Hazrat: Hazrat Abul Faiz kī ‘Ilmī Khidmāt kā Mutāla‘a* — a study of the saint’s scholarship as a pupil of Ahmad Raza Khan.
Shrine of Bahauddin Zakariya	SB897A7	tazkira	Alam Faqri, *Tazkirah Awliya-e-Pakistan* (Lahore) — compendium of the saints of Pakistan, including Bahauddin Zakariya.
Shrine of Bibi Pak Daman	S0B70F5	book	Maulvi Muhammad Bakhsh Shah Qureshi, *Tareekh-e-Bibiyan Pakdaman*.
Shrine of Bibi Pak Daman	S2EE004	monograph	Pir Ghulam Dastgir Nami, *Bibian-e-Pak Daman* (Lahore: Idara Ma‘arif Nomania; first published 1372 AH / 1953).
Shrine of Bibi Pak Daman	S4EAF5E	book	Muhammad Ilyas Aadil, *Bibiyan Pakdamanan / Darbar Bibi Pak Daman* (Lahore).
Shrine of Bibi Pak Daman	SA742D9	book	Hafeez Ullah Khan Manzar, *Hazrat Bibi Pakdaman: Kaun Hain aur Kahan se Aain?* (Lahore: Idara Ziya-e-Adab).
Shrine of Bibi Pak Daman	SBCF076	field survey	Shrines Project field survey, Bibi Pak Daman responses (surveyor: Saifullah Imtiaz), 2026.
Shrine of Bibi Pak Daman	SCF37B2	book	Hafeez Ullah Manzar, *Hazrat Bibi Pak Damanan Lahore ki Tareekh*.
Shrine of Bibi Pak Daman	SEFCC17	tazkira	Earlier works cited within the above: Mufti Ghulam Sarwar Lahori, *Hadiqat al-Auliya* and *Khazinat al-Asfiya*; *Tazkira-e-Hamidiya*; *Tuhfat al-Wasilin*; Rai Bahadur Kanhaiya Lal, *Tareekh-e-Lahore*; *Nuqoosh: Lahore Number*.
Shrine of Fariduddin Ganjshakar	S2F134F	primary text	Farid’s *shlokas* as preserved in the Guru Granth Sahib and in Punjabi tradition (verses quoted in standard published wording).
Shrine of Fariduddin Ganjshakar	SAD03EF	tazkira	Alam Faqri, *Tazkirah Awliya-e-Pakistan* (Lahore) — compendium of the saints of Pakistan, including Baba Farid.
Shrine of Ganj e Inayat Sarkar	S1DCDC2	field survey	Shrines Project field survey, Darbar Ganj-e-Inayat Sarkar responses (surveyor: Saifullah Imtiaz), 2026.
Shrine of Ganj e Inayat Sarkar	S795E59	book	Pir Muhammad Inayat Ahmad Naqshbandi Mujaddidi (“Ganj-e-Inayat Sarkar”), *Kitab-us-Salat: Namaz, Durood aur Tasawwuf ki Barakat* (Lahore: Idara Punjabi Likhariyan, Shahdara) — the saint’s own work on prayer and the Sufi path.
Shrine of Ganj e Inayat Sarkar	SA51BE8	book	*Darbar Hazrat Ganj-e-Inayat Sarkar* — Urdu account of the saint and the shrine.
Shrine of Hazrat Madho Lal Hussain (Shah Hussain Darbar)	S2C1392	book	*Shah Husain* (Punjabi/Urdu study; from the project’s source collection).
Shrine of Hazrat Madho Lal Hussain (Shah Hussain Darbar)	S8C7670	field survey	Shrines Project field survey, Darbar Madho Lal Hussain responses (surveyor: Saifullah), 2026.
Shrine of Hazrat Madho Lal Hussain (Shah Hussain Darbar)	S921902	book	Shafqat Tanvir Mirza, *Shah Hussain* (Islamabad: Lok Virsa) — Urdu study of the saint’s life, teachers (Bahlol, Data’s darbar), contemporaries, and travels.
Shrine of Hazrat Madho Lal Hussain (Shah Hussain Darbar)	SC70393	book	*Darbar Madho Lal Hussain* — Urdu account of the shrine and its history.
Shrine of Hazrat Madho Lal Hussain (Shah Hussain Darbar)	SD967DD	book	*Kalam-e-Shah Hussain* (ed. Syed Babar Ali) — a collected edition of Shah Hussain’s Punjabi kafis.
Shrine of Hazrat Shah Daula Daryai	S3F577E	unclassified	"M. Miles, ""The Chuas of Shah Daulah at Gujrat, Pakistan: Evidence, Historical Background and Development"" (survey with extensive bibliography of sources from 1839 onward), Independent Living Institute."
Shrine of Hazrat Shah Daula Daryai	S5080DD	monograph	Katherine Pratt Ewing, *Arguing Sainthood: Modernity, Psychoanalysis, and Islam* (Duke University Press), on the shrine and its administration.
Shrine of Hazrat Shah Daula Daryai	S8D358F	tazkira	Alam Faqri, *Tazkirah Awliya-e-Pakistan*, and general histories of Mughal-era Punjabi Sufism, for the life and cult of the saint.
Shrine of Hazrat Shah Daula Daryai	S9B5682	book	Shahamat Ali, *The Sikhs and Afghans* (London, 1847), for the earliest printed notice of the *chuhas*.
Shrine of Hazrat Shah Daula Daryai	SB02989	gazetteer	A. C. Elliott, *The Chronicles of Gujrat*, and the District Gazetteer of Gujrat, for local history.
Shrine of Imam Ali-ul-Haq	S0DD63F	tazkira	Alam Faqri, *Tazkirah Awliya-e-Pakistan*, and comparable hagiographical compendia of the saints of Pakistan.
Shrine of Imam Ali-ul-Haq	S8F0BED	book	General studies of the Islamisation of the Punjab and of warrior-saint (*ghazi*/*shahid*) cults in South Asian Islam.
Shrine of Imam Ali-ul-Haq	SA5F5E9	unclassified	"Contemporary Pakistani press and local commemorative accounts of Imam Ali-ul-Haq (""Imam Sahib"") and the *urs* held at his Sialkot shrine."
Shrine of Imam Ali-ul-Haq	SECCBD2	gazetteer	District Gazetteer of Sialkot (Punjab Government gazetteer series), for the local history and topography of the city and its shrines.
Shrine of Imam Ali-ul-Haq	SF63C06	book	Ganesh Das Wadhera, *Chār Bāgh-i-Panjāb* (nineteenth-century Persian chronicle of the Punjab), for the disputed tenth-century account of the saint.
Shrine of Jalaluddin Surkh-Posh Bukhari (Jalaluddin Bukhari)	S97322F	tazkira	Alam Faqri, *Tazkirah Awliya-e-Pakistan* (Lahore) — compendium of the saints of Pakistan.
Shrine of Lakhi Shah Saddar	S32A0F9	gazetteer	Sindh Exploration and Adventure Society / EFT Sindh, *Heritage Sites of Sindh: District Jamshoro* (gazetteer of the district's shrines and monuments).
Shrine of Lakhi Shah Saddar	S3B5B64	monograph	Boivin, Michel. *Historical Dictionary of the Sufi Culture of Sindh in Pakistan and India.* Karachi: Oxford University Press, 2015.
Shrine of Lakhi Shah Saddar	S8B60A9	monograph	Schimmel, Annemarie. *Pearls from the Indus: Studies in Sindhi Culture.* Jamshoro: Sindhi Adabi Board, 1986.
Shrine of Lakhi Shah Saddar	SDAF619	monograph	Ansari, Sarah F. D. *Sufi Saints and State Power: The Pirs of Sindh, 1843–1947.* Cambridge University Press, 1992.
Shrine of Makhdoom Jahaniyan Jahangasht	S97322F	tazkira	Alam Faqri, *Tazkirah Awliya-e-Pakistan* (Lahore) — compendium of the saints of Pakistan.
Shrine of Mian Mir	S320FF7	monograph	Komal Butter, “Emotions and Miracles: Folktales of the Mian Mir Shrine in Nineteenth-Century Lahore,” *Journal of the Punjab University Historical Society* 38:2 (2025).
Shrine of Mian Mir	S75220C	book	Madanjit Kaur, *The Golden Temple: Past and Present* (referenced on the foundation-stone tradition).
Shrine of Mian Mir	SB54805	field survey	Shrines Project field survey, Mian Mir responses (surveyor: Muhammad Rizwan), 2026.
Shrine of Mian Mir	SC95862	book	Muhammad Dara Shikoh, *Sakīnat al-Auliyā* (Persian; the prince’s hagiography of Mian Mir and his circle).
Shrine of Mian Mir	SE48501	monograph	Gyani Brahma Singh ‘Brahma’, *Hazrat Mian Mir and the Sufi Tradition* (Patiala: Publication Bureau, Punjabi University, 1994).
Shrine of Pir Mangho	S97322F	tazkira	Alam Faqri, *Tazkirah Awliya-e-Pakistan* (Lahore) — compendium of the saints of Pakistan.
Shrine of Pir Sher Muhammad	S97322F	tazkira	Alam Faqri, *Tazkirah Awliya-e-Pakistan* (Lahore) — compendium of the saints of Pakistan.
Shrine of Qalandar Baba Auliya	S6A9F28	unclassified	Established histories of the Azeemia Sufi order (and the writings of Khwaja Shamsuddin Azeemi).
Shrine of Qalandar Baba Auliya	SB1AAFE	tazkira	Qalandar Baba Auliya, *Loh-o-Qalam* — the saint's principal work.
Shrine of Qalandar Baba Auliya	SDA39A3	tazkira	(This saint post-dates the Tazkirah Awliya-e-Pakistan compendium; entry based on established modern accounts.)
Shrine of Sachal Sarmast	S97322F	tazkira	Alam Faqri, *Tazkirah Awliya-e-Pakistan* (Lahore) — compendium of the saints of Pakistan.
Shrine of Sachal Sarmast	S975863	primary text	The collected poetry (*Risalo/Kalam*) of Sachal Sarmast in Sindhi and Seraiki.
Shrine of Shah Rukn-e-Alam	SB27389	tazkira	Alam Faqri, *Tazkirah Awliya-e-Pakistan* (Lahore) — compendium of the saints of Pakistan, including Shah Rukn-e-Alam.
Shrine of Shah Shams-ud-Din Sabzwari	S97322F	tazkira	Alam Faqri, *Tazkirah Awliya-e-Pakistan* (Lahore) — compendium of the saints of Pakistan.
Shrine of Shah Yusaf Gardez	S97322F	tazkira	Alam Faqri, *Tazkirah Awliya-e-Pakistan* (Lahore) — compendium of the saints of Pakistan.
Shrine of Syed Musa Pak	S97322F	tazkira	Alam Faqri, *Tazkirah Awliya-e-Pakistan* (Lahore) — compendium of the saints of Pakistan.
Sial Sharif	S97322F	tazkira	Alam Faqri, *Tazkirah Awliya-e-Pakistan* (Lahore) — compendium of the saints of Pakistan.
Tilla Jogian	S71BB8A	book	G. W. Briggs, *Gorakhnath and the Kanphata Yogis*, for the wider Nath ascetic tradition.
Tilla Jogian	S8687F7	gazetteer	*Jhelum District Gazetteer* and Salt Range surveys, for the monastic complex and its context.
Tilla Jogian	S875A6E	press	Reporting in *Dawn* and heritage literature on the decay and endangerment of the Tilla Jogian complex.
Tilla Jogian	SBF6784	primary text	Waris Shah, *Heer* (eighteenth century), the classic Punjabi verse-romance featuring Ranjha's initiation at Tilla Jogian.
Tomb of Allama Iqbal (Mazar-e-Iqbal)	S158C30	monograph	For life and dates, standard biographies of Iqbal (the 2026 field survey preserves some variant dates, noted above).
Tomb of Allama Iqbal (Mazar-e-Iqbal)	S5FC3B2	monograph	Muhammad Iqbal, *Kulliyat-e-Iqbal (Urdu)* — including *Bang-e-Dara* (1924), *Bal-e-Jibril* (1935), and *Zarb-e-Kalim* (1936).
Tomb of Allama Iqbal (Mazar-e-Iqbal)	S678A91	field survey	Shrines Project field survey, Mazar-e-Iqbal responses (surveyor: Saifullah Imtiaz), 2026.
Tomb of Allama Iqbal (Mazar-e-Iqbal)	SEE526E	book	Muhammad Iqbal, *The Reconstruction of Religious Thought in Islam* (English lectures).
Tomb of Allama Iqbal (Mazar-e-Iqbal)	SEF34F4	book	Muhammad Iqbal, Persian works: *Asrar-e-Khudi*, *Rumuz-e-Bekhudi*, *Payam-e-Mashriq*, and *Javid Nama*.
Tomb of Javindi Bibi	S97322F	tazkira	Alam Faqri, *Tazkirah Awliya-e-Pakistan* (Lahore) — compendium of the saints of Pakistan (Bukhari line of Uch).
Umarkot (Amarkot) Shiv Mandir	S0A1926	press	"Contemporary press reporting (Dawn, ""The thriving Shiva festival in Umarkot"") on Maha Shivaratri at the temple."
Umarkot (Amarkot) Shiv Mandir	S43D152	unclassified	Studies of Hindu communities and pilgrimage in modern Sindh.
Umarkot (Amarkot) Shiv Mandir	S46A90D	book	Raikes, S. N. *Memoir on the Thurr and Parkur Districts of Sindh*.
Umarkot (Amarkot) Shiv Mandir	SF814AA	book	Cousens, Henry. *The Antiquities of Sindh, with Historical Outline*. Archaeological Survey of India.
Valmik Mandir (Naqi Road)	S7945F9	encyclopaedia	"Wikipedia, ""Valmiki Mandir"" and ""List of temples in Lahore"" (with cited sources)."
Valmik Mandir (Naqi Road)	S8F1741	press	"*The Express Tribune*, ""Nila Gumbad Mandar: The story of a temple""."
Valmik Mandir (Naqi Road)	S9FE763	press	"*Dawn*, ""Harking Back: Valmiki's temple could be Lahore's oldest structure""."
Valmik Mandir (Naqi Road)	SAB9F57	register	Reporting of the Pakistan Hindu Council and Evacuee Trust Property Board on functioning temples in Lahore.
Valmik Mandir (Naqi Road)	SD9B36F	press	"*Dawn*, ""Valmikis converge on Lahore temple 'after 20 years'""."
Wadpagga Sharif	S0FC9C2	book	General works on Sufi shrine culture and *sayyid* families in Khyber Pakhtunkhwa.
Wadpagga Sharif	S14AD6F	gazetteer	*Gazetteer of the Peshawar District* (colonial-era editions), for the villages and shrines around Peshawar.
Wadpagga Sharif	S697930	unclassified	Studies of the Bukhari Suhrawardi lineage of Jalaluddin Surkh-Posh and Makhdoom Jahaniyan Jahangasht of Uch.
Wadpagga Sharif	SC4F2C5	tazkira	Family and community traditions (*shajra* and oral *tazkira*) of the Bukhari *sayyids* of Wadpagga Sharif, Peshawar.
